id,translated_france,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
10,"Bien qu'un vaccin expérimental semble être capable de réduire la mortalité par Ebola, jusqu'à présent, aucun médicament n'a été clairement démontré approprié pour traiter une infection existante.","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.","Bien qu'un vaccin expérimental semble capable de réduire la mortalité due au virus Ebola, jusqu'à présent, aucun médicament n'a clairement démontré son efficacité pour traiter une infection existante.",0.8785067796707153,0.8900314569473267,0.8842315673828125,0.9412943124771118,0.9427356719970703,0.9420144557952881
11,"Un cocktail d'anticorps, ZMapp, a d'abord montré de la promesse dans le domaine, mais des études formelles ont indiqué qu'il avait moins de bénéfices que recherché dans la prévention de la mort.","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.","Un cocktail d'anticorps, ZMapp, a initialement montré des promesses dans ce domaine, mais des études formelles ont indiqué qu'il avait moins de bénéfices que prévu pour prévenir les décès.",0.8282949328422546,0.8290823101997375,0.8286884427070618,0.9260779619216919,0.947625994682312,0.9367281198501587
12,"Dans l'essai PALM, ZMapp a servi de contrôle, ce qui signifie que les scientifiques l'ont utilisé comme référence et l'ont comparé aux trois autres traitements.","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.","Dans l'essai PALM, ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme référence et ont comparé les trois autres traitements à celui-ci.",0.9578539133071899,0.9381225109100342,0.9478855133056641,0.9592463374137878,0.9343562722206116,0.946637749671936
13,USA Gymnastics soutient la lettre du Comité olympique des États-Unis et accepte l'exigence absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue pour la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,0.950156033039093,0.9424092769622803,0.9462668299674988,0.9436527490615845,0.9360208511352539,0.9398213028907776
14,"Nous sommes d'accord avec la déclaration du CUSO selon laquelle les intérêts de nos athlètes et de nos clubs, et de leur sport, peuvent être mieux servis en avançant avec des changements significatifs au sein de notre organisation, plutôt que de la décertification.","Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.","Nous sommes d'accord avec la déclaration de l'USOC selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis en avançant vers un changement significatif au sein de notre organisation, plutôt qu'en procédant à une décertification.",0.9066082239151001,0.8351767063140869,0.8694277405738831,0.9505395889282227,0.9298578500747681,0.9400849938392639
15,USA Gymnastics soutient une enquête indépendante qui pourrait mettre en lumière comment l'abus de la proportion décrite si courageusement par les survivants de Larry Nassar aurait pu rester indétectable pendant si longtemps et embrasse tous les changements nécessaires et appropriés.,USA Gymnastics soutient une enquête indépendante qui pourrait faire la lumière sur la façon dont l’abus de la proportion décrite si courageusement par les survivants de Larry Nassar a pu passer inaperçu pendant si longtemps et adopte tout changement nécessaire et approprié.,La gymnastique américaine soutient une enquête indépendante qui pourrait éclairer comment les abus de la proportion décrite si courageusement par les survivants de Larry Nassar ont pu rester non détectés pendant si longtemps et adopte tous les changements nécessaires et appropriés.,0.9302052855491638,0.9262567758560181,0.9282268285751343,0.9287947416305542,0.9290284514427185,0.928911566734314
16,"La gymnastique américaine et l'USOC ont le même objectif  de rendre le sport de la gymnastique et d'autres aussi sûr que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et autonomisé.","USA Gymnastics et l'USOC ont le même objectif : rendre la gymnastique, ainsi que d'autres sports, aussi sûrs que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et responsabilisant.","La Fédération américaine de gymnastique et le Comité olympique et paralympique des États-Unis ont le même objectif : rendre le sport de la gymnastique, ainsi que d'autres sports, aussi sûr que possible pour que les athlètes puissent poursuivre leurs rêves dans un environnement sûr, positif et épanouissant.",0.9200160503387451,0.9045983552932739,0.91224205493927,0.9213826060295105,0.868857204914093,0.8943493962287903
17,"Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy comme son conseiller puis pour l'administration de Lyndon B. Johnson.","Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.","Tout au long des années 1960, Brzezinski a travaillé pour John F. Kennedy en tant que conseiller, puis pour l'administration de Lyndon B. Johnson.",0.9800833463668823,0.9679840803146362,0.9739961624145508,0.9800833463668823,0.9679840207099915,0.973996102809906
18,"Lors des élections de 1976, il conseille Carter sur la politique étrangère, puis sert de conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.","Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.","Lors des sélections de 1976, il a conseillé Carter en matière de politique étrangère, puis a été conseiller à la sécurité nationale (NSA) de 1977 à 1981, succédant à Henry Kissinger.",0.9541939496994019,0.944286584854126,0.9492144584655762,0.9541939496994019,0.944286584854126,0.9492144584655762
19,"En tant que NSA, il a aidé Carter à gérer diplomatiquement les affaires mondiales, telles que les Accords de Camp David, 1978; normaliser les relations entre les États-Unis et la Chine à la fin des années 1970; la révolution iranienne, qui a conduit à la crise des otages iraniens, 1979; et l'invasion soviétique en Afghanistan, 1979.","Pendant son temps au sein de la NSA, il a aidé Carter à résoudre diplomatiquement des questions internationales telles que les accords de Camp David, en 1978, la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970, la révolution iranienne et ses conséquences comme la prise d'otages en Iran, en 1979, et l'invasion des forces soviétiques en Afghanistan, en 1979.","En tant que conseiller à la sécurité nationale, il a aidé Carter à gérer diplomatiquement les affaires mondiales, telles que les Accords de Camp David en 1978 ; la normalisation des relations entre les États-Unis et la Chine à la fin des années 1970 ; la Révolution iranienne, qui a conduit à la crise des otages en Iran en 1979 ; et l'invasion soviétique en Afghanistan en 1979.",0.9037520885467529,0.8895650506019592,0.8966024518013,0.9581319093704224,0.9490588307380676,0.9535737633705139
20,"Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.","Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.","Le film, avec Ryan Gosling et Emma Stone, a reçu des nominations dans toutes les grandes catégories.",1.0,1.0,1.0,0.9999998807907104,0.9999998807907104,0.9999998807907104
21,Gosling et Stone ont reçu respectivement des nominations pour Meilleur acteur et actrice.,Golsling et Stone ont respectivement été nominés pour le Meilleur Acteur et la Meilleure Actrice.,Gosling et Stone ont reçu des nominations pour le meilleur acteur et la meilleure actrice respectivement.,0.8861353397369385,0.8704545497894287,0.8782249689102173,0.9595890045166016,0.9405730962753296,0.9499858617782593
22,"Les autres nominations incluent le meilleur film, le meilleur réalisateur, la cinématographie, le design de costumes, l'édition de films, la scène originale, le design de production, l'édition sonore, le mélange sonore et le scénario original.","Parmi les autres nominations figurent celles du meilleur film, du meilleur réalisateur, de la meilleure cinématographie, des meilleurs costumes, du meilleur montage, de la meilleure musique originale, des meilleurs décors, du meilleur montage sonore, du meilleur mixage et du meilleur scénario original.","Les autres nominations incluent Meilleur Film, Meilleur Réalisateur, Meilleure Photographie, Meilleure Conception de Costumes, Meilleur Montage, Meilleure Musique Originale, Meilleure Direction Artistique, Meilleur Montage Sonore, Meilleur Mixage Sonore et Meilleur Scénario Original.",0.8390781879425049,0.8482331037521362,0.8436307907104492,0.8181036710739136,0.8137899041175842,0.8159410357475281
23,"Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont reçu des nominations pour la meilleure chanson originale.","Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont été nominées pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations — plus que tout autre studio.","Deux chansons du film, Audition (The Fools Who Dream) et City of Stars, ont reçu des nominations pour la meilleure chanson originale. Le studio Lionsgate a reçu 26 nominations, plus que tout autre studio.",0.9534572958946228,0.8574471473693848,0.9029070138931274,0.9728544354438782,0.8752211332321167,0.9214587807655334
24,"Dimanche soir, le président américain Donald Trump, dans un communiqué transmis par le secrétaire de presse, a annoncé que les troupes américaines quitteraient la Syrie.","Tard dimanche, le président des États-Unis Donald Trump, dans une déclaration faite par l'intermédiaire du secrétaire de presse, a annoncé que les troupes américaines allaient se retirer de la Syrie.","Tard dimanche, le président américain Donald Trump, dans une déclaration faite par l'intermédiaire de la porte-parole, a annoncé que les troupes américaines quitteraient la Syrie.",0.9299423694610596,0.9106781482696533,0.9202094078063965,0.9268141984939575,0.9265011548995972,0.9266576766967773
25,L'annonce a été faite après que Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,L’annonce a été faite après que M. Trump ait eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,L'annonce a été faite après que Trump a eu une conversation téléphonique avec le président turc Recep Tayyip Erdoğan.,0.9770186543464661,0.9559865593910217,0.9663881659507751,0.9959166049957275,0.9959166049957275,0.9959166049957275
26,"La Turquie prendra également en charge la garde des combattants capturés de l'EI qui, selon la déclaration, les nations européennes ont refusé de les rapatrier.","La Turquie prendrait également en charge la garde des combattants d'ISIS capturés que, selon la déclaration, les nations européennes ont refusé de rapatrier.","La Turquie prendrait également la responsabilité de garder les combattants de l'ISIS capturés, ce que, selon le communiqué, les nations européennes ont refusé de rapatrier.",0.9278265237808228,0.9387204051017761,0.9332417249679565,0.8941246271133423,0.8806354999542236,0.8873287439346313
27,"Cela confirme non seulement que certains dinosaures avaient des plumes, une théorie déjà répandue, mais fournit des détails que les fossiles ne peuvent généralement pas, tels que la couleur et l'arrangement tridimensionnel.","Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà très répandue, mais fournit des détails que les fossiles ne peuvent généralement pas fournir, comme la couleur et la disposition tridimensionnelle.","Cela confirme non seulement qu'au moins certains dinosaures avaient des plumes, une théorie déjà répandue, mais fournit des détails que les fossiles ne peuvent généralement pas offrir, tels que la couleur et l'arrangement tridimensionnel.",0.9652480483055115,0.9549000263214111,0.960046112537384,0.9859313368797302,0.9648293256759644,0.9752662181854248
28,Les scientifiques disent que le plumage de cet animal était de couleur brune-chastane au sommet avec une partie inférieure pâle ou de couleur caroténoïde.,Les scientifiques disent que le plumage de cet animal était brun châtain sur le dessus et de couleur pâle ou caroténoïde sur le dessous.,Les scientifiques disent que le plumage de cet animal était brun châtaignier sur le dessus avec un dessous pâle ou de couleur caroténoïde.,0.9007940292358398,0.9073809385299683,0.9040755033493042,0.9282293319702148,0.9257258772850037,0.9269758462905884
29,Cette découverte permet également de comprendre l'évolution des plumes chez les oiseaux.,Cette découverte permet également de mieux comprendre l'évolution des plumes chez les oiseaux.,La découverte offre également un aperçu de l'évolution des plumes chez les oiseaux.,0.9945065975189209,0.9887149333953857,0.9916023015975952,0.9414423108100891,0.9110784530639648,0.9260116219520569
30,"Parce que les plumes des dinosaures n'ont pas un arbre bien développé, appelé un rachis, mais ont d'autres caractéristiques des plumes  barbes et barbules  les chercheurs ont déduit que le rachis était probablement un développement évolutionnaire ultérieur que ces autres caractéristiques.","Étant donné que les plumes de dinosaure n'ont pas une tige entièrement développée, que l'on appelle rachis, mais montrent cependant d'autres caractéristiques propres aux plumes – barbes et barbules – les chercheurs en ont déduit que le rachis était probablement un développement évolutif ultérieur à ces autres caractéristiques.","Parce que les plumes de dinosaure n'ont pas de tige bien développée, appelée rachis, mais possèdent d'autres caractéristiques des plumes – des barbes et des barbules – les chercheurs ont déduit que le rachis était probablement un développement évolutif ultérieur par rapport à ces autres caractéristiques.",0.9190200567245483,0.8847319483757019,0.9015501141548157,0.9440231919288635,0.9219585061073303,0.9328603744506836
31,"La structure des plumes suggère qu'elles n'ont pas été utilisées en vol, mais plutôt pour réguler la température ou la présentation.","La structure des plumes suggère qu’elles n’étaient pas utilisées en vol mais plutôt pour la régulation ou l’affichage de la température. Les chercheurs ont suggéré que, même s’il s’agit de la queue d’un jeune dinosaure, l’échantillon montre un plumage d’adulte et non le duvet d’un poussin.","La structure des plumes suggère qu'elles n'étaient pas utilisées pour le vol mais plutôt pour la régulation de la température ou l'affichage. Les chercheurs ont suggéré que, bien que cela soit la queue d'un jeune dinosaure, l'échantillon montre un plumage adulte et non du duvet de poussin.",0.8517313003540039,0.6961216330528259,0.7661044597625732,0.8921635150909424,0.7609648704528809,0.8213579654693604
32,"Les chercheurs ont suggéré que, même si c'est la queue d'un jeune dinosaure, l'échantillon montre des plumes adultes et non des poules.","Les scientifiques précisent qu'il s'agit certes de la queue d'un dinosaure juvénile, mais l'échantillon révèle un plumage appartenant à un individu adulte, et non à un jeune.","Les chercheurs ont suggéré que, même si c'est la queue d'un jeune dinosaure, l'échantillon montre un plumage adulte et non du duvet d'un poussin.",0.8597618341445923,0.8384142518043518,0.8489538431167603,0.9570935964584351,0.9373429417610168,0.9471153020858765
33,"Une voiture piégée qui a explosé hier matin au siège de la police de Gaziantep, en Turquie, a tué deux policiers et blessé plus de vingt autres personnes.","Une voiture piégée a explosé au siège de la police à Gaziantep, en Turquie, hier matin, tuant deux officiers de police et blessant plus de vingt autres personnes.","Une voiture piégée a explosé au siège de la police à Gaziantep, en Turquie, hier matin, tuant deux officiers de police et blessant plus de vingt autres personnes.",0.9280186891555786,0.9175077676773071,0.9227332472801208,0.9280186891555786,0.9175077676773071,0.9227332472801208
34,Le bureau du gouverneur a déclaré que 19 des blessés étaient des policiers.,Le bureau du gouverneur a déclaré que dix-neuf des blessés étaient des officiers de police.,Le bureau du gouverneur a déclaré que dix-neuf des blessés étaient des policiers.,0.9502398371696472,0.9226764440536499,0.9362553954124451,0.9851862192153931,0.9607809782028198,0.9728305339813232
35,La police a déclaré qu'elle soupçonnait un militant présumé de Daech (ISIL) de la responsabilité de l'attaque.,La police a déclaré soupçonner un militant présumé de Daesh (ÉI) comme le suspect à l'origine de cette attaque.,La police a déclaré qu'elle soupçonne un prétendu militant de Daesh (EI) d'être responsable de l'attaque.,0.8882585763931274,0.8846125602722168,0.8864318132400513,0.9233468174934387,0.9202089309692383,0.921775221824646
36,"Ils ont découvert que le Soleil fonctionnait selon les mêmes principes fondamentaux que les autres étoiles: l'activité de toutes les étoiles du système était déterminée par leur luminosité, leur rotation et rien d'autre.","Ils ont constaté que le Soleil fonctionnait selon les mêmes principes de base que les autres étoiles. L'activité de toutes les étoiles du système est déterminée par leur luminosité, leur rotation et rien d'autre.","Ils ont découvert que le Soleil fonctionnait selon les mêmes principes de base que les autres étoiles : l'activité de toutes les étoiles du système était déterminée par leur luminosité, leur rotation, et rien d'autre.",0.9500541687011719,0.9539587497711182,0.9520024061203003,0.9804500341415405,0.9815844297409058,0.9810168743133545
37,"La luminosité et la rotation sont utilisées ensemble pour déterminer le nombre Rossby d'une étoile, qui est lié au flux de plasma.","La luminosité et la rotation sont utilisées conjointement afin de déterminer le nombre de Rossby d'une étoile, qui est lié au flux de plasma.","La luminosité et la rotation sont utilisées ensemble pour déterminer le nombre de Rossby d'une étoile, qui est lié au flux de plasma.",0.9789111614227295,0.9543954133987427,0.9664978384971619,0.9933027029037476,0.9873577356338501,0.9903213381767273
38,"Plus le nombre de Rossby est petit, moins l'étoile est active par rapport aux inversements magnétiques.","En ce qui concerne les inversions magnétiques, plus le nombre de Rossby est petit, moins l’étoile est active .","Plus le nombre de Rossby est petit, moins l'étoile est active en ce qui concerne les inversions magnétiques.",0.89164799451828,0.863122284412384,0.8771532773971558,0.9473460912704468,0.9202706813812256,0.9336121678352356
39,"Pendant son voyage, Iwasaki a rencontré de nombreuses difficultés.","Au cours de son voyage, Iwasaki a eu des problèmes à de nombreuses occasions.","Lors de son voyage, Iwasaki a rencontré des problèmes à de nombreuses reprises.",0.9146947860717773,0.8982329368591309,0.9063891172409058,0.9507924318313599,0.9134002923965454,0.9317213892936707
40,"Il a été volé par des pirates, attaqué au Tibet par un chien furieux, a échappé au mariage au Népal et a été arrêté en Inde.","Il a été volé par des pirates, attaqué au Tibet par un chien enragé, a échappé à un mariage au Népal et a été arrêté en Inde.","Il a été volé par des pirates, attaqué au Tibet par un chien enragé, a échappé à un mariage au Népal et a été arrêté en Inde.",0.9788525104522705,0.9662736654281616,0.9725224375724792,0.9788524508476257,0.9662736654281616,0.9725224375724792
41,"La norme 802.11n fonctionne à la fois sur les fréquences 2,4 GHz et 5,0 GHz.","La norme 802.11n fonctionne à la fois sur les fréquences 2,4 GHz et 5,0 GHz.","La norme 802.11n fonctionne à la fois sur les fréquences de 2,4 GHz et de 5,0 GHz.",0.9999999403953552,0.9999999403953552,0.9999999403953552,0.989310085773468,0.9734005928039551,0.9812909364700317
42,"Cela permettra de le rendre compatible à l'arrière avec 802.11a, 802.11b et 802.11g, à condition que la station de base dispose de radios doubles.","Ceci autorisera la rétro-compatibilité avec les itérations 802.11a, b et g, sous réserve que la station possède deux radios.","Cela permettra d'être rétrocompatible avec 802.11a, 802.11b et 802.11g, à condition que la station de base ait des radios duales.",0.8211346864700317,0.8029967546463013,0.8119644522666931,0.9247580766677856,0.9101578593254089,0.9173998832702637
43,Les vitesses de 802.11n sont nettement plus rapides que celles de ses prédécesseurs avec un débit théorique maximal de 600 Mbit/s.,"Les vitesses de la norme Wi-Fi 802.11n sont sensiblement plus rapides que celles de ses prédécesseurs, avec un débit théorique maximum de 600 Mbit/s.","Les vitesses de 802.11n sont considérablement plus rapides que celles de ses prédécesseurs, avec un débit théorique maximum de 600 Mbit/s.",0.9664478302001953,0.9333717823028564,0.9496219158172607,0.9854965806007385,0.9718869924545288,0.9786444902420044
44,"Duvall, marié et père de deux enfants adultes, n'a pas laissé une grande impression sur Miller, à qui l'histoire a été relatée.","Duvall, qui est marié et a deux enfants adultes, n’a pas fait bonne impression à Miller, à qui l’histoire a été relatée.","Duvall, qui est marié et a deux enfants adultes, n'a pas laissé une grande impression sur Miller, à qui l'histoire a été racontée.",0.9265660643577576,0.9129489660263062,0.9197071194648743,0.95632004737854,0.9499296545982361,0.9531140923500061
45,"Quand on lui a demandé de commenter, Miller a dit: "" Mike parle beaucoup pendant l'audience... Je me préparais donc je n'entendais pas vraiment ce qu'il disait. ""","Lorsqu'on lui a demandé de commenter, Miller a déclaré : « Mike parle beaucoup pendant l'audience… Je me préparais, donc je n'ai pas vraiment entendu ce qu'il disait ».","Lorsqu'on lui a demandé de commenter, Miller a déclaré : « Mike parle beaucoup pendant l'audience... Je me préparais, donc je n'écoutais pas vraiment ce qu'il disait. »",0.9327744841575623,0.9436016082763672,0.93815678358078,0.971868634223938,0.9658358097076416,0.9688428044319153
46,"""Nous nous efforcerons de réduire les émissions de dioxyde de carbone par unité de PIB d'une marge notable d'ici 2020 par rapport au niveau de 2005"", a déclaré Hu.","« Nous nous efforcerons de réduire les émissions de dioxyde de carbone par unité de PIB de manière significative d'ici 2020 par rapport au niveau de 2005 », a déclaré M. Hu.","« Nous nous efforcerons de réduire les émissions de dioxyde de carbone par unité de PIB d'une marge notable d'ici 2020 par rapport au niveau de 2005 », a déclaré Hu.",0.9574525952339172,0.9504563808441162,0.9539417028427124,0.9955565333366394,0.9955565333366394,0.9955565333366394
47,"Il n'a pas fixé de chiffre pour les coupes, disant qu'elles seront effectuées en fonction de la production économique de la Chine.","Il n'a pas chiffré ces réductions, disant qu'elles seront basées sur la production économique chinoise.","Il n'a pas fixé de chiffre pour les réductions, disant qu'elles seront effectuées en fonction de la production économique de la Chine.",0.8576244711875916,0.8937275409698486,0.8753038048744202,0.9785361289978027,0.9785361289978027,0.9785361289978027
48,"Hu a encouragé les pays en développement à ""éviter d'abord la vieille voie de la pollution et de la propreté plus tard"".",Hu a encouragé les pays en voie de développement « à éviter l'ancienne méthode qui consistait à polluer d'abord et à nettoyer ensuite ».,"Hu a encouragé les pays en développement ""à éviter l'ancienne voie de polluer d'abord et de nettoyer ensuite.""",0.8555745482444763,0.8306819796562195,0.8429445028305054,0.8758828639984131,0.8685262203216553,0.8721890449523926
49,"Il a ajouté que ""il ne faut pas, cependant, leur demander d'assumer des obligations qui dépassent leur stade de développement, leur responsabilité et leurs capacités"".","Il a ajouté qu’« on ne devrait cependant pas leur demander d’assumer des obligations qui dépassent leur stade de développement, leur responsabilité et leurs capacités. »","Il a ajouté que ""ils ne devraient cependant pas être contraints de prendre des engagements qui dépassent leur stade de développement, leurs responsabilités et leurs capacités.""",0.9249053001403809,0.9246406555175781,0.9247729778289795,0.9012420177459717,0.9000588655471802,0.9006500840187073
50,Le groupe d'étude sur l'Irak a présenté son rapport à 12 h GMT aujourd'hui.,Le groupe d’étude sur l’Irak a présenté son rapport aujourd’hui à 12 h GMT.,Le Groupe d'étude sur l'Irak a présenté son rapport aujourd'hui à 12h00 GMT.,0.9353185296058655,0.9194933772087097,0.9273384809494019,0.9651023745536804,0.9559768438339233,0.960517942905426
51,"Il prévient que personne ne peut garantir qu'à ce stade, toute action en Irak arrêtera la guerre sectaire, la violence croissante ou la chute vers le chaos.","Il avertit que personne ne peut garantir que toute action en Irak à ce stade mettra fin à la guerre sectaire, à la violence croissante ou au glissement vers le chaos.","Cela prévient que personne ne peut garantir qu'aucune action en Irak à ce stade mettra fin à la guerre civile, à la violence croissante ou à une dérive vers le chaos.",0.9190571904182434,0.9141898155212402,0.9166170954704285,0.9109496474266052,0.8981305360794067,0.9044947028160095
