id,translated_russian,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
11,"Один антител коктейль, ZMapp, изначально показал перспективы в этой области, но официальные исследования показали, что он приносит меньшую пользу, чем ожидается в предотвращении смерти.","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.","Один коктейль антител, ZMapp, изначально показал многообещающие результаты в этой области, но формальные исследования показали, что он менее эффективен, чем ожидалось, в предотвращении смерти.",0.8697093725204468,0.8586839437484741,0.864161491394043,0.9018082618713379,0.8959188461303711,0.8988539576530457
12,"В исследовании PALM ZMapp служил контрольным средством, а это означает, что ученые использовали его в качестве основной линии и сравнивали с ним три других метода лечения.","В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.","В испытании PALM ZMapp использовался в качестве контроля, что означает, что ученые использовали его в качестве базового уровня и сравнивали три других лечения с ним.",0.8882021903991699,0.9063538312911987,0.8971862196922302,0.9033125638961792,0.915280282497406,0.9092571139335632
13,США Гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютную необходимость Олимпийской семьи способствовать безопасной среде для всех наших спортсменов.,Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,Союз гимнастики США поддерживает письмо Олимпийского комитета Соединенных Штатов и признает абсолютную необходимость создания безопасной среды для всех наших спортсменов в Олимпийской семье.,0.8764932155609131,0.8796564340591431,0.8780719637870789,0.8923777341842651,0.8645795583724976,0.8782587051391602
14,"Мы согласны с заявлением USOC, что интересы наших спортсменов и клубов, и их спорт, могут быть лучше обслуживаются, если мы двигаемся вперед с значительными изменениями в нашей организации, а не дискредитация.","Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.","Мы согласны с заявлением USOC о том, что интересы наших спортсменов и клубов, а также их спорта могут быть лучше защищены путем реализации значительных изменений в нашей организации, а не путем лишения лицензии.",0.8116288185119629,0.8422468304634094,0.8266544342041016,0.8547468185424805,0.8646981716156006,0.859693706035614
15,"USA Gymnastics поддерживает независимое расследование, которое может пролить свет на то, как злоупотребление пропорцией, описанной так смело выжившими Ларри Нассар, могло остаться незамеченным так долго и включает любые необходимые и соответствующие изменения.","USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.","USA Gymnastics поддерживает независимое расследование, которое может пролить свет на то, как злоупотребления в такой степени, как это смело описали выжившие после Ларри Нассара, могли оставаться незамеченными так долго, и поддерживает любые необходимые и уместные изменения.",0.8537298440933228,0.8393328189849854,0.8464701175689697,0.9008384943008423,0.8975023031234741,0.8991672992706299
16,"США гимнастика и USOC имеют одну и ту же цель  сделать спорт гимнастики и других, как можно безопаснее для спортсменов, чтобы следовать своим мечтам в безопасной, позитивной и укрепленной среде.","Федерация гимнастики США и Олимпийский комитет США имеют одинаковую цель — сделать гимнастику и другие виды спорта настолько безопасными для спортсменов, насколько это возможно, чтобы они могли стремиться к своим целям в безопасной, позитивной среде и были наделены всеми правами.","Всё в гимнастике и Олимпийский комитет США преследуют одну и ту же цель — сделать спорт гимнастики, а также другие виды спорта, максимально безопасными для спортсменов, чтобы они могли следовать своим мечтам в безопасной, позитивной и вдохновляющей обстановке.",0.8416491746902466,0.7797011137008667,0.8094916939735413,0.8875831365585327,0.8268493413925171,0.8561404347419739
17,"В течение 1960-х Бжезинский работал для Джона Кеннеди в качестве его советника, а затем в администрации Линдона Б. Джонсона.","В 1960-х гг. Бжезинский занимал должность советника при Джоне Ф. Кеннеди, затем в администрации Линдона Б. Джонсона.","На протяжении 1960-х годов Бжезинский работал в качестве советника у Джона Ф. Кеннеди, а затем и в администрации Линдона Б. Джонсона.",0.9171499013900757,0.9103272557258606,0.9137258529663086,0.947622537612915,0.9419029951095581,0.9447541236877441
18,"Во время выборов 1976 года он консультировал Картера по внешней политике, затем служил советником по национальной безопасности (NSA) с 1977 по 1981 год, сменив Генри Киссинджера.","Во время выборов 1976 года он консультировал Картера по вопросам внешней политики. Затем с 1977 по 1981 год он работал советником по национальной безопасности, сменив на этом посту Генри Киссинджера.","В ходе выборов 1976 года он консультировал Картера по вопросам внешней политики, а затем с 1977 по 1981 год занимал пост советника по национальной безопасности (NSA), сменив Генри Киссинджера.",0.9363555312156677,0.9309547543525696,0.9336473345756531,0.9694529175758362,0.9594570398330688,0.9644290208816528
19,"В качестве АНБ он помог Картеру в дипломатическом обращении с мировыми делами, такими как Соглашения Камп-Дэвид, 1978; нормализация отношений США с Китаем в конце 1970-х годов; Иранская революция, которая привела к кризису заложников в Иране, 1979; и советское вторжение в Афганистан, 1979.","Будучи советником по нацбезопасности, он помогал Картеру в мировой дипломатии, например, в заключении Кэмп-Дэвидских соглашений 1978 года, нормализации американо-китайских отношений в конце 1970-х годов, выработке политики в отношении Иранской революции, приведшей к кризису с заложниками в 1979 г., и вторжении СССР в Афганистан в 1979 году.","В качестве советника по национальной безопасности он помогал Картеру в дипломатическом решении мировых дел, таких как Кэмп-Дэвидские соглашения 1978 года; нормализация отношений США и Китая в конце 1970-х; Иранская революция, которая привела к захвату американских заложников в Иране в 1979 году; и советское вторжение в Афганистан в 1979 году.",0.8509954214096069,0.8232176899909973,0.8368760943412781,0.9115296006202698,0.9049783945083618,0.9082421064376831
20,"Фильм, в котором снимаются Райан Гослинг и Эмма Стоун, получил номинации во всех основных категориях.",Этот фильм с участием Райана Гослинга и Эммы Стоун получил номинации во всех главных категориях.,Фильм с Райаном Гослингом и Эммой Стоун получил номинации во всех основных категориях.,0.8893547058105469,0.9152121543884277,0.9020981788635254,0.8803956508636475,0.9216681718826294,0.9005593061447144
21,Гослинг и Стоун получили номинации за лучшего актера и актрису соответственно.,Гослинг и Стоун получили номинации на лучшего актера и актрису соответственно.,Гослинг и Стоун получили номинации на лучшего актёра и актрису соответственно.,0.9951668977737427,0.9951668977737427,0.9951668977737427,0.9851983785629272,0.9835267663002014,0.9843618273735046
22,"Другие номинации включают в себя Лучший фильм, режиссер, кинематография, дизайн костюмов, киноредактирование, оригинальный балл, дизайн производства, звукоредактирование, звукомешивание и оригинальный сценарий.","Среди других номинаций: ""Лучшая картина"", ""Режиссёр"", ""Операторская работа"", ""Дизайн костюмов"", ""Монтаж фильма"", ""Оригинальная музыка"", ""Художник-постановщик"", ""Звуковой монтаж"", ""Звук"" и ""Оригинальный сценарий"".","Другие номинации включают: Лучший фильм, Режиссура, Операторская работа, Дизайн костюмов, Монтаж фильма, Оригинальная музыка, ПрProduction Design, Звуковой монтаж, Звуковая обработка и Оригинальный сценарий.",0.7773227691650391,0.7578336596488953,0.7674544453620911,0.8439245223999023,0.8308538198471069,0.8373381495475769
23,"Две песни из фильма, ""Аудиция"" и ""Город звезд"", получили номинации на лучшую оригинальную песню.","Две песни из фильма — Audition (The Fools Who Dream) и City of Stars, попали в номинацию лучшая авторская песня. Студия Lionsgate попала в 26 номинаций — больше, чем любая другая студия.","Две песни из фильма, ""Аудиша"" (Глупцы, которые мечтают) и ""Город звезд"", получили номинации на лучшую оригинальную песню. Студия Lionsgate получила 26 номинаций — больше, чем любая другая студия.",0.7848080992698669,0.7099609375,0.7455105781555176,0.9314718246459961,0.7776492834091187,0.8476384282112122
24,"В воскресенье президент США Дональд Трамп в заявлении, выданном через пресс-секретаря, объявил о том, что американские войска покинут Сирию.","Поздно вечером в воскресенье президент США Дональд Трамп через пресс-секретаря заявил, что войска США покинут Сирию.","Поздно в воскресенье президент Соединенных Штатов Дональд Трамп в заявлении, переданном через пресс-секретаря, объявил, что американские войска покинут Сирию.",0.8749217391014099,0.931443452835083,0.9022983312606812,0.9522895812988281,0.9115303754806519,0.9314642548561096
25,Это было объявлено после телефонного разговора Трампа с президентом Турции Реджепом Тайипом Эрдоганом.,"Заявление было сделано после того, как Трамп провел телефонный разговор с президентом Турции Реджепом Тайипом Эрдоганом.",Объявление было сделано после телефонного разговора Трампа с президентом Турции Реджепом Тайипом Эрдоаном.,0.9275661706924438,0.8930413126945496,0.9099764227867126,0.9533188343048096,0.948319673538208,0.9508126974105835
26,"Турция также будет заниматься охраной захваченных боевиков ИГИЛ, которых, как говорится в заявлении, европейские страны отказались возвращать на родину.","Кроме того, Турция займет главную роль в вопросе охраны пойманных боевиков ИГИЛ, которых, согласно заявлению, европейские государства не согласились возвращать домой.","Турция также возьмет на себя охрану захваченных бойцов ИГИЛ, которые, как говорится в заявлении, европейские страны отказались репатриировать.",0.8690266013145447,0.8486127853393555,0.8586983680725098,0.9100543260574341,0.9049532413482666,0.9074966311454773
27,"Это не только подтверждает, что у некоторых динозавров были перья, теория, которая уже широко распространена, но и дает подробности, которые обычно не могут найти ископаемые, такие как цвет и трехмерное расположение.","Это не только подтверждает, что, по крайней мере, у некоторых динозавров были перья, что является уже широко распространённой теорией, но и предоставляет детали, которые обычно нельзя получить из окаменелых остатков, такие как цвет и трехмерную структуру.","Это не только подтверждает, что как минимум у некоторых динозавров были перья, что уже широко распространенная теория, но и предоставляет детали, которые обычно не могут быть получены из окаменелостей, такие как цвет и трехмерное расположение.",0.8838511109352112,0.8425192832946777,0.8626905083656311,0.9075987339019775,0.8826528787612915,0.8949519991874695
28,"Ученые говорят, что перья этого животного была каштаново-коричневой с бледной или каротиноидной нижней стороны.","Учёные говорят, что оперение этого животного было сверху каштаново-коричневого цвета, а снизу — либо бледным, либо имело каротиноидную пигментацию.","Ученые утверждают, что оперение этого животного было каштаново-коричневым сверху с бледным или каротиноидным цветом снизу.",0.8742632865905762,0.8082913756370544,0.8399839401245117,0.9175280332565308,0.8828813433647156,0.8998713493347168
29,"Также в этом открытии можно узнать, как у птиц развиваются перья.",Находка также позволяет ознакомиться с эволюцией перьев у птиц.,Это открытие также дает представление о эволюции перьев у птиц.,0.7885397672653198,0.7843880653381348,0.7864583730697632,0.8193591833114624,0.8182582259178162,0.818808376789093
30,"Поскольку у перьев динозавров нет хорошо развитой шахты, называемой рахисом, но есть другие особенности перьев  барб и барбулы  исследователи вынесли вывод, что рахис, вероятно, был более поздним эволюционным развитием, чем эти другие особенности.","Так как у перьев динозавров отсутствует хорошо развитый стержень, называемый рахисом, но все же имеются другие отличительные черты — бородки и бородочки — исследователи пришли к выводу, что рахис, скорее всего, появился позднее путем эволюционного развития других отличительных черт.","Поскольку перья динозавров не имеют хорошо развитого стержня, называемого рачисом, но обладают другими признаками перьев — бородками и бородочками, исследователи пришли к выводу, что рачис, вероятно, был более поздним эволюционным развитием по сравнению с этими другими признаками.",0.8619626760482788,0.8379419445991516,0.8497825264930725,0.8909209966659546,0.8608644604682922,0.8756348490715027
31,"По словам исследователей, хотя это хвост молодого динозавра, в образце показано взрослые перья, а не курица.","Структура перьев наводит на мысль, что они не использовались для полёта, а скорее для регуляции температуры и демонстрирования. Исследователи предположили, что хотя это и хвост молодого динозавра, но в образце представлено взрослое оперение, а не пух цыплёнка.","Структура перьев предполагает, что они не использовались для полёта, а скорее для терморегуляции или демонстрации. Исследователи предположили, что, хотя это хвост молодого динозавра, образец показывает взрослое оперение, а не пух птенца.",0.8584065437316895,0.7420421838760376,0.7959941029548645,0.8618372678756714,0.751762866973877,0.8030455708503723
32,"Исследователи предположили, что, хотя это хвост молодого динозавра, образцы показывают взрослые перья, а не курица.","Исследователи предположили, что, несмотря на то, что это хвост молодого динозавра, данный образец имеет оперение взрослой особи, а не пух цыплёнка.","Исследователи предположили, что, хотя это хвост молодого динозавра, образец демонстрирует взрослое оперение, а не птичье пуховое оперение.",0.9125626087188721,0.8829471468925476,0.8975105881690979,0.9341112971305847,0.8976038694381714,0.9154938459396362
33,"Автобом, взорванный в полицейском штабе в Газиантеп, Турция, вчера утром убил двух полицейских и ранил более двадцати других людей.","Вчера утром возле главного полицейского управления Газиантепа (Турция) был подорван автомобиль, в результате чего погибли 2 полицейских и еще более 20 человек получили ранения.","Вчера утром в Газьянтепе, Турция, у главного управления полиции прогремел автомобильный взрыв, в результате которого погибли два полицейских, а более двадцати человек получили ранения.",0.8124185800552368,0.8230060338973999,0.8176780343055725,0.8123841881752014,0.79311203956604,0.8026324510574341
34,"Управление губернатора сообщило, что 19 из раненых были полицейскими.","Канцелярия губернатора сообщила, что 19 из раненных были офицерами полиции.","Офис губернатора сообщил, что девятнадцать из раненых были полицейскими.",0.9317073822021484,0.8983577489852905,0.9147287011146545,0.9644005298614502,0.9340670108795166,0.9489914178848267
35,"Полиция заявила, что подозревает, что ответственность за нападение лежит на боевике ИГИЛ.","Полиция заявила, что в совершении нападения подозревается предполагаемый боевик ДАИШ (ИГИЛ).","Полиция заявила, что подозревает предполагаемого боевика Даеш (ИГИЛ) в ответственности за атаку.",0.8717594742774963,0.8507035970687866,0.861102819442749,0.8887150883674622,0.8590694665908813,0.873640775680542
36,"Они обнаружили, что Солнце действует по тем же основным принципам, что и другие звезды: деятельность всех звезд в системе определяется их яркостью, вращением и ничем другим.","Они обнаружили, что Солнце работает по тем же основным принципам, что и другие звёзды: было установлено, что активность всех звёзд в системе определяется их яркостью, вращением и ничем другим.","Они обнаружили, что Солнце функционирует на тех же основных принципах, что и другие звезды: выяснили, что активность всех звезд в системе определяется их светимостью, их вращением и ничем другим.",0.9733453989028931,0.9514223337173462,0.9622589945793152,0.9498757719993591,0.9166353940963745,0.9329596161842346
37,"Светочность и вращение используются вместе для определения числа Росби звезды, которая связана с плазменным потоком.","Совокупность светимости и вращения используется для определения числа Россби звезды, связанного с потоком плазмы.","Яркость и вращение используются вместе для определения числа Россби звезды, которое связано с потоком плазмы.",0.8839999437332153,0.8705796003341675,0.8772384524345398,0.9242582321166992,0.9297741651535034,0.9270079731941223
38,"Чем меньше число Росби, тем меньше активности звезды по отношению к магнитным обворотам.","Чем меньше число Россби, тем менее активна звезда по отношению к инверсиям магнитного поля.","Чем меньше число Россби, тем менее активна звезда в отношении магнитных переворотов.",0.9008437395095825,0.8848154544830322,0.8927576541900635,0.8311705589294434,0.8322282433509827,0.8316990733146667
39,Во время своего путешествия Ивасаки неоднократно сталкивался с бедами.,Ивасаки часто попадал в неприятные ситуации во время путешествия.,Во время своей поездки Ивасаки столкнулся с трудностями много раз.,0.8507513999938965,0.8361610770225525,0.8433931469917297,0.8896299004554749,0.8824625611305237,0.8860316872596741
40,"Он был ограблен пиратами, напал на него в Тибете злостная собака, избежал брака в Непале и был арестован в Индии.","Он был ограблен пиратами, атакован бешеной собакой в Тибете, избежал свадьбы в Непале и был арестован в Индии.","Он был ограблен пиратами, напал в Тибете бешеной собакой, избежал женитьбы в Непале и был арестован в Индии.",0.9091349244117737,0.9212915897369385,0.9151729345321655,0.9299491047859192,0.9370486736297607,0.9334853887557983
41,"Стандарт 802.11n работает как на частотах 2,4 ГГц, так и на частотах 5,0 ГГц.",Стандарт 802.11n работает на обоих частотах – 2.4 ГГц и 5.0 ГГц.,Стандарт 802.11n работает на частотах 2.4 ГГц и 5.0 ГГц.,0.9029420614242554,0.9239291548728943,0.9133151173591614,0.918208122253418,0.9585384130477905,0.9379399418830872
42,"Это позволит ему быть обратно совместимым с 802.11a, 802.11b и 802.11g, при условии, что базовая станция имеет двойные радиостанции.","Это обеспечит его обратную совместимость с 802.11a, 802.11b и 802.11g при условии, что у базовой станции есть двойной приемник.","Это позволит обеспечить обратную совместимость с 802.11a, 802.11b и 802.11g, при условии, что базовая станция имеет два радиопередатчика.",0.9080431461334229,0.8990092277526855,0.9035036563873291,0.9256410598754883,0.9114093780517578,0.9184700846672058
43,"Скорость 802.11n существенно быстрее, чем у предшественников с максимальной теоретической пропускной способностью 600 Мбит/с.","Скорости 802.11n значительно быстрее, чем у его предшественников с максимальной теоретической пропускной способностью в 600 Мбит/с.","Скорости 802.11n значительно выше, чем у его предшественников, с максимальной теоретической пропускной способностью 600 Мбит/с.",0.9779983162879944,0.972540020942688,0.9752615094184875,0.9489286541938782,0.9532572031021118,0.951088011264801
44,"Дувалл, который женат и имеет двоих взрослых детей, не произвел на Миллера большого впечатления.","Дюваль, который женат и имеет двух совершеннолетних детей, не произвел большого впечатления на Миллера, которому рассказали эту историю.","Дюваль, который женат и имеет двух взрослых детей, не произвел большого впечатления на Миллера, которому была рассказана эта история.",0.8978999257087708,0.8606162071228027,0.8788628578186035,0.9264604449272156,0.8709684610366821,0.8978579044342041
45,"Когда его попросили прокомментировать, Миллер сказал: ""Майк много говорит во время слушания... Я готовился, так что я не слушал, что он сказал"".","Когда у Миллера попросили комментарий, он сказал: ""Майк много говорит во время слушаний... Я готовился, поэтому особо не слушал, что он говорил"".","Когда его спросили о комментарии, Миллер сказал: «Майк много говорит на слушании... Я готовился, поэтому не очень слушал, что он говорил».",0.9357895851135254,0.9139659404754639,0.9247490167617798,0.9172132015228271,0.9146068692207336,0.9159082174301147
46,"""Мы постараемся сократить выбросы углекислого газа на единицу ВВП на значительный разряд к 2020 году по сравнению с уровнем 2005 года"", - сказал Ху.","""Мы будем предпринимать усилия с целью значительного сокращения выбросов углекислого газа на единицу ВВП к 2020 году по сравнению с уровнем 2005 года"", — сказал Ху.","""Мы постараемся существенно сократить выбросы углекислого газа на единицу ВВП к 2020 году по сравнению с уровнем 2005 года,"" сказал Ху.",0.9135422706604004,0.8891245722770691,0.9011679887771606,0.9550027847290039,0.9745473861694336,0.9646760821342468
