id,translated_spainish,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
10,"Aunque una vacuna experimental parece capaz de reducir la mortalidad por ébola, hasta ahora no se ha demostrado claramente que ningún medicamento sea adecuado para tratar la infección existente.","Al día de hoy no se ha demostrado a ciencia cierta que algún fármaco sea adecuado para tratar la infección existente causada por ébola, aun cuando existe una vacuna experimental que pareciera ser capaz de disminuir la mortalidad causada por esa enfermedad.","Mientras que una vacuna experimental parece poder reducir la mortalidad por ébola, hasta ahora no se han demostrado claramente medicamentos adecuados para tratar la infección existente.",0.8964653015136719,0.8488925099372864,0.8720305562019348,0.9360747933387756,0.9521427154541016,0.9440404176712036
11,"Un cocktail de anticuerpos, ZMapp, inicialmente mostró promesa en el campo, pero los estudios formales indicaron que tenía menos beneficio de lo que se buscaba para prevenir la muerte.","Zmapp, un combinado de anticuerpos, tuvo un prometedor resultado de campo al principio, pero estudios los formales demostraron que era menos beneficioso de lo que se esperaba para prevenir la muerte.","Un cóctel de anticuerpos, ZMapp, mostró inicialmente promesas en el campo, pero estudios formales indicaron que tenía menos beneficios de los esperados en la prevención de la muerte.",0.8648568987846375,0.8521211743354797,0.8584417700767517,0.9138641357421875,0.9218931198120117,0.9178611040115356
12,"En el ensayo PALM, ZMapp sirvió como un control, lo que significa que los científicos lo usaron como base y compararon los otros tres tratamientos con él.","En el ensayo PALM, la función de Zmapp fue de control, es decir, que los científicos lo utilizaron como base y compararon con él los otros tres tratamientos.","En el ensayo PALM, ZMapp sirvió como control, lo que significa que los científicos lo utilizaron como referencia y compararon los otros tres tratamientos con él.",0.9178777933120728,0.9093995690345764,0.9136189818382263,0.9821077585220337,0.9858503341674805,0.9839754700660706
13,La Gimnasia de los Estados Unidos apoya la carta del Comité Olímpico de los Estados Unidos y acepta la necesidad absoluta de la familia olímpica de promover un entorno seguro para todos nuestros atletas.,USA Gymnastics respalda la nota del Comité Olímpico de los Estados Unidos y reconoce que resulta imperioso que la familia olímpica fomente un entorno seguro para todos nuestros deportistas.,La gimnasia de EE. UU. apoya la carta del Comité Olímpico de los Estados Unidos y acepta la necesidad absoluta de la familia olímpica de promover un ambiente seguro para todos nuestros atletas.,0.8833953738212585,0.8642115592956543,0.8736981153488159,0.9652445316314697,0.9562799334526062,0.9607412815093994
14,"Estamos de acuerdo con la declaración de la USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden ser mejor servidos al avanzar con cambios significativos dentro de nuestra organización, en lugar de la decertificación.","Coincidimos con la declaración de la USOC de que los intereses de los atletas, los clubes y sus deportes, pueden ser atendidos más apropiadamente si se avanza con cambios significativos dentro de nuestra organización, en lugar del retiro de las certificaciones.","Estamos de acuerdo con la declaración del USOC de que los intereses de nuestros atletas y clubes, y su deporte, pueden ser mejor atendidos al avanzar con un cambio significativo dentro de nuestra organización, en lugar de la descalificación.",0.8813176155090332,0.8608266711235046,0.8709515929222107,0.9536824822425842,0.958914577960968,0.9562913775444031
15,La Gimnasia de EE.UU. apoya una investigación independiente que puede arrojar luz sobre cómo el abuso de la proporción descrita tan valientemente por los sobrevivientes de Larry Nassar podría haber sido indetectado durante tanto tiempo y abarca cualquier cambio necesario y apropiado.,USA Gymnastics respalda a una investigación independiente que puede esclarecer de qué modo el abuso de la proporción que los sobrevivientes de Larry Nassa describieron con tanto coraje pudo haber pasado sin ser visto por tanto tiempo y acepta cualquier cambio necesario y adecuado.,La Federación de Gimnasia de EE. UU. apoya una investigación independiente que podría arrojar luz sobre cómo el abuso de la magnitud descrita tan valientemente por los sobrevivientes de Larry Nassar pudo haber permanecido indetectado durante tanto tiempo y abraza cualquier cambio necesario y apropiado.,0.8315587043762207,0.8384866714477539,0.8350083231925964,0.9527600407600403,0.941859781742096,0.9472785592079163
16,"La gimnasia estadounidense y la USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sea lo más seguro posible para que los atletas sigan sus sueños en un entorno seguro, positivo y empoderado.","La meta de USA Gymnastics y USOC es la misma: lograr que la gimnasia y otros deportes sean lo más seguro posible para que los atletas persigan sus sueños en un entorno protegido, positivo y potenciado.","La gimnasia de EE. UU. y el USOC tienen el mismo objetivo: hacer que el deporte de la gimnasia, y otros, sea lo más seguro posible para que los atletas puedan seguir sus sueños en un entorno seguro, positivo y empoderado.",0.8806437849998474,0.8824927806854248,0.8815672993659973,0.9784342050552368,0.9591366052627563,0.9686893224716187
17,"A lo largo de la década de 1960, Brzezinski trabajó para John F. Kennedy como su asesor y luego la administración de Lyndon B. Johnson.","Durante los años 60, Brzezinski trabajó para John F. Kennedy en el puesto de asesor y, posteriormente, para el gobierno de Lyndon B. Johnson.","A lo largo de la década de 1960, Brzezinski trabajó como asesor de John F. Kennedy y luego en la administración de Lyndon B. Johnson.",0.9251360893249512,0.9125596284866333,0.9188048243522644,0.9642667174339294,0.967982828617096,0.9661211967468262
18,"Durante las selecciones de 1976 asesoró a Carter en política exterior, luego sirvió como Asesor de Seguridad Nacional (NSA) de 1977 a 1981, sucediendo a Henry Kissinger.","Asesoró a Carter en materia de política exterior en las elecciones de 1976. Posteriormente, trabajó como asesor de seguridad nacional (ASN) entre 1977 y 1981, luego de Henry Kissinger.","Durante las elecciones de 1976, asesoró a Carter sobre política exterior y luego se desempeñó como Asesor de Seguridad Nacional (NSA) desde 1977 hasta 1981, sucediendo a Henry Kissinger.",0.8856325745582581,0.8920143842697144,0.8888120055198669,0.9522873163223267,0.9519736766815186,0.9521304368972778
19,"Como NSA, ayudó a Carter en la gestión diplomática de los asuntos mundiales, como los Acuerdos de Camp David, 1978; normalizar las relaciones entre Estados Unidos y China pensó a finales de la década de 1970; la Revolución iraní, que llevó a la crisis de rehenes de Irán, 1979; y la invasión soviética en Afganistán, 1979.","Como consejero de seguridad nacional, asistió a Carter en el manejo diplomático de asuntos internacionales, como los Acuerdos de Camp David de 1978, la normalización de las relaciones entre Estados Unidos y China a fines de la década de 1970, la Revolución iraní de 1979, la que llevó a una crisis de rehenes en Irán, y la invasión soviética en Afganistán, en 1979.","Como Asesor de Seguridad Nacional, ayudó a Carter a manejar diplomáticamente los asuntos mundiales, como los Acuerdos de Camp David, 1978; la normalización de las relaciones entre Estados Unidos y China a finales de los años 70; la Revolución Iraní, que condujo a la crisis de rehenes en Irán, 1979; y la invasión soviética en Afganistán, 1979.",0.9058860540390015,0.8959819674491882,0.9009068012237549,0.9352864623069763,0.926999568939209,0.9311245679855347
20,"La película, con Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales.","El filme, protagonizado por Tyan Gosling y Emma Stone, fue nominado en todas las categorías más importantes.","La película, protagonizada por Ryan Gosling y Emma Stone, recibió nominaciones en todas las categorías principales.",0.9231622219085693,0.8759104013442993,0.8989157676696777,0.9778412580490112,0.9680348038673401,0.9729132652282715
21,Gosling y Stone recibieron nominaciones para Mejor Actor y Actriz respectivamente.,"Gosling y Stone fueron nominados como Mejor Actor y Mejor Actriz, respectivamente.","Gosling y Stone recibieron nominaciones a Mejor Actor y Mejor Actriz, respectivamente.",0.9423970580101013,0.9452877044677734,0.9438401460647583,0.9813494682312012,0.9654313325881958,0.9733253121376038
22,"Las otras nominaciones incluyen Mejor Imagen, Director, Cinematografía, Diseño de Trajes, Edición de Películas, Original Score, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guión Original.","Entre las demás nominaciones se encuentran Mejor película, Mejor director, Mejor cinematografía, Mejor diseño de vestuario, Mejor edición de películas, Mejor partitura original, Mejor diseño de producción, Mejor edición de sonido, Mejor mezcla de sonido y Mejor guion original.","Las otras nominaciones incluyen Mejor Película, Director, Fotografía, Diseño de Vestuario, Montaje de Película, Banda Original, Diseño de Producción, Edición de Sonido, Mezcla de Sonido y Guion Original.",0.8333284854888916,0.85590660572052,0.8444666266441345,0.9496698379516602,0.9529344439506531,0.9512993097305298
23,"Dos canciones de la película, Audition (The Fools Who Dream) y City of Stars, recibieron nominaciones para la mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que cualquier otro estudio.","Fueron dos las nominadas a mejor canción original: Audición (Los tontos que sueñan) y Ciudad de estrellas. El estudio Lionsgate fue nominado 26 veces, superando a cualquier otro estudio.","Dos canciones de la película, Audition (Los tontos que sueñan) y City of Stars, recibieron nominaciones a mejor canción original. El estudio Lionsgate recibió 26 nominaciones, más que ningún otro estudio.",0.8357306122779846,0.8403232097625732,0.8380206823348999,0.9463421106338501,0.9298350811004639,0.9380159974098206
24,"A finales del domingo, el presidente de los Estados Unidos, Donald Trump, en un comunicado emitido a través del secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria.","El domingo por la noche, en un anuncio realizado mediante el secretario de prensa, el presidente de los Estados Unidos de América, Donald Trump, comunicó que las tropas estadounidenses se retirarían de Siria.","Tarde el domingo, el presidente de Estados Unidos, Donald Trump, en una declaración entregada a través del secretario de prensa, anunció que las tropas estadounidenses abandonarían Siria.",0.907347559928894,0.902573823928833,0.9049543738365173,0.9446063041687012,0.9496307969093323,0.9471119046211243
25,El anuncio se hizo después de que Trump tuvo una conversación telefónica con el presidente turco Recep Tayyip Erdoğan.,"El anuncio se hizo tras la conversación telefónica que Trump mantuvo con con el presidente de Turquía, Recep Tayyip Erdoğan.",El anuncio se hizo después de que Trump tuviera una conversación telefónica con el presidente turco Recep Tayyip Erdoğan.,0.9309147596359253,0.9203084707260132,0.9255812168121338,0.9918040037155151,0.9874570965766907,0.9896257519721985
26,"Turquía también se haría cargo de la vigilancia de los combatientes capturados por el ISIS que, según la declaración, las naciones europeas se han negado a repatriarse.","Turquía asumiría, además, la vigilancia de los militantes del ISIS que fueron capturados, a quienes las naciones europeas, conforme indica el comunicado, les denegó su repatriación.","Turquía también se haría cargo de custodiar a los combatientes del ISIS capturados, que, según el comunicado, las naciones europeas se han negado a repatriar.",0.854226291179657,0.8387676477432251,0.8464264273643494,0.9350391030311584,0.9346492290496826,0.9348441362380981
27,"Esto no sólo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya extendida, sino que proporciona detalles fósiles generalmente no pueden, como el color y la disposición tridimensional.","Además de confirmar que al menos algunos dinosaurios eran plumíferos, una teoría ya generalizada, también ofrece datos específicos que los fósiles por lo general no ofrecen, como su color y su estructura tridimensional.","Esto no solo confirma que al menos algunos dinosaurios tenían plumas, una teoría ya bastante extendida, sino que también proporciona detalles que generalmente los fósiles no pueden ofrecer, como el color y la disposición tridimensional.",0.8674856424331665,0.8497582674026489,0.8585304617881775,0.9667069911956787,0.9418445825576782,0.9541139006614685
28,Los científicos dicen que el plumaje de este animal era castaño en la parte superior con una parte inferior de color pálido o carotenoides.,"Según los especialistas, este animal tiene un plumaje de color castaño en la zona superior y una tonalidad pálida o carotenoide en la parte de abajo.",Los científicos dicen que el plumaje de este animal era de color castaño en la parte superior con un lado inferior pálido o de color carotenoide.,0.8922890424728394,0.8840888738632202,0.888170063495636,0.970901370048523,0.96550452709198,0.968195378780365
29,El hallazgo también proporciona una visión de la evolución de las plumas en las aves.,"Asimismo, el hallazgo permite comprender mejor la evolución de las plumas de las aves.",El hallazgo también brinda información sobre la evolución de las plumas en las aves.,0.9221734404563904,0.9060835242271423,0.9140576720237732,0.9620215892791748,0.9632261991500854,0.9626234769821167
30,"Debido a que las plumas de dinosaurio no tienen un pozo bien desarrollado, llamado raquis, pero sí tienen otras características de plumas — púas y púas — los investigadores indujeron que el raquis era probablemente un desarrollo evolutivo posterior que estas otras características.","Dado que el plumaje de los dinosaurios no tiene un eje bien desarrollado, denominado raquis, pero sí presenta otros rasgos de las plumas (cerdas y bárbulas), los investigadores llegaron a la conclusión de que es probable que el raquis sea el resultado de un desarrollo evolutivo posterior de estas otras características.","Debido a que las plumas de dinosaurio no tienen un tallo bien desarrollado, llamado raquis, pero sí tienen otras características de las plumas —ganchos y microganchos—, los investigadores inferieron que el raquis fue probablemente un desarrollo evolutivo posterior a estas otras características.",0.8758313059806824,0.8621510863304138,0.8689373731613159,0.9374746084213257,0.9331324100494385,0.9352984428405762
31,"La estructura de las plumas sugiere que no se utilizaron en vuelo, sino para la regulación o visualización de la temperatura.Los investigadores sugirieron que, a pesar de que esta es la cola de un dinosaurio joven, la muestra muestra muestra plumaje adulto y no un polluelo caído.","La estructura que presenta el plumaje sugiere que su función no estaba relacionada con el vuelo, sino que las usaban para regular la temperatura o como indicador de la misma. Los investigadores sostienen que, aunque se trata de la cola de un dinosaurio joven, la muestra analizada presenta rasgos del plumaje de un adulto y no de un polluelo.","La estructura de las plumas sugiere que no se utilizaban para volar, sino más bien para la regulación de la temperatura o para el exhibicionismo. Los investigadores sugirieron que, aunque esta es la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumón de un polluelo.",0.8771317601203918,0.8524053692817688,0.8645918369293213,0.9376090168952942,0.926628589630127,0.9320864677429199
32,"Los investigadores sugirieron que, aunque esta es la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no un polluelo caído.","Las apreciaciones de los expertos fueron que, aun cuando se trata de la cola de un dinosaurio de corta edad, la muestra ilustra más el plumaje de un adulto que el de un polluelo.","Los investigadores sugirieron que, a pesar de que esta es la cola de un dinosaurio joven, la muestra muestra plumaje adulto y no plumón de un polluelo.",0.8573965430259705,0.8414008617401123,0.8493233919143677,0.9577023386955261,0.9403271079063416,0.9489352107048035
34,La oficina del gobernador dijo que diecinueve de los heridos eran policías.,Desde el gobierno informaron que diecinueve de las personas heridas eran policías.,La oficina del gobernador dijo que diecinueve de los heridos eran oficiales de policía.,0.9217046499252319,0.9139330387115479,0.9178023934364319,0.9799908995628357,0.9715448617935181,0.9757496118545532
35,La policía dijo que sospechan de un presunto militante del Daesh (EIIL) de la responsabilidad del ataque.,La policía informó que el sospechoso por el ataque es un supuesto militante de Daish (ELIL).,La policía dijo que sospechan de un presunto militante del Daesh (EI) como responsable del ataque.,0.8511317372322083,0.8652864098548889,0.8581507205963135,0.9552468657493591,0.9663578271865845,0.9607702493667603
36,"Encontraron que el Sol operaba sobre los mismos principios básicos que otras estrellas: La actividad de todas las estrellas en el sistema se encontró impulsada por su luminosidad, su rotación, y nada más.",Se descubrió que el sol se regía por los mismos principios básicos que otras estrellas: los únicos factores que impulsaban su actividad dentro del sistema eran su luminosidad y su rotación.,"Encontraron que el Sol operaba bajo los mismos principios básicos que otras estrellas: se descubrió que la actividad de todas las estrellas en el sistema estaba impulsada por su luminosidad, su rotación y nada más.",0.8385439515113831,0.8629398941993713,0.8505670428276062,0.964815616607666,0.9627309441566467,0.963772177696228
37,"La luminosidad y la rotación se utilizan juntos para determinar el número Rossby de una estrella, que está relacionado con el flujo plasmático.","La intensidad de la luz y la rotación se combinan para calcular el número de Rossby de una estrella, vinculado al flujo de plasma.","La luminosidad y la rotación se utilizan juntas para determinar el número de Rossby de una estrella, que está relacionado con el flujo de plasma.",0.8817392587661743,0.882238507270813,0.8819888234138489,0.9603077173233032,0.9616579413414001,0.9609823822975159
38,"Cuanto más pequeño es el número Rossby, menos activa es la estrella con respecto a las reversiones magnéticas.","A menor número de Rossby, menor es la actividad de la estrella en relación con sus inversiones magnéticas.","Cuanto más pequeño es el número de Rossby, menos activa es la estrella con respecto a las inversiones magnéticas.",0.8391335010528564,0.8457069396972656,0.8424073457717896,0.973139762878418,0.9686500430107117,0.970889687538147
39,"Durante su viaje, Iwasaki tuvo problemas en muchas ocasiones.",Iwasaki debió enfrentarse con numerosos problemas durante su viaje.,"Durante su viaje, Iwasaki se encontró con problemas en muchas ocasiones.",0.8953635692596436,0.8936339616775513,0.8944978713989258,0.9852231740951538,0.9677672386169434,0.9764171838760376
40,"Fue robado por piratas, atacado en el Tíbet por un perro rabioso, escapó del matrimonio en Nepal y fue arrestado en la India.","Lo asaltaron piratas, lo mordió un perro con rabia en el Tíbet, escapó del matrimonio en Nepal y lo detuvo la policía en India.","Fue robado por piratas, atacado en Tíbet por un perro rabioso, escapó del matrimonio en Nepal y fue arrestado en India.",0.8586050271987915,0.8527175188064575,0.8556511998176575,0.9870232939720154,0.9938497543334961,0.9904247522354126
41,El estándar 802.11n funciona tanto en las frecuencias 2.4Ghz como 5.0Ghz.,El 802.11n estándar funciona tanto en frecuencias de 2.4Ghz como 5.0Ghz.,El estándar 802.11n opera en las frecuencias de 2.4Ghz y 5.0Ghz.,0.970799446105957,0.9704430103302002,0.9706211686134338,0.957077145576477,0.964127242565155,0.9605892896652222
42,"Esto permitirá que sea compatible con 802.11a, 802.11b y 802.11g, siempre que la estación base tenga radios duales.","Esto hará posible su compatibilidad con versiones anteriores de 802.11a, 802.11b y 802.11g; ello en la medida en que la estación base tenga radios duales.","Esto permitirá que sea compatible hacia atrás con 802.11a, 802.11b y 802.11g, siempre que la estación base tenga radios duales.",0.9261858463287354,0.8785022497177124,0.9017140865325928,0.9952542185783386,0.9805629253387451,0.9878539443016052
43,Las velocidades de 802.11n son sustancialmente más rápidas que las de sus predecesores con un rendimiento teórico máximo de 600Mbit/s.,"Las velocidades del estándar 802.11n son mucho más altas que las alcanzadas por los que lo precedieron, con un rendimiento teórico máximo de 600 Mbps.","Las velocidades de 802.11n son sustancialmente más rápidas que las de sus predecesores, con un rendimiento teórico máximo de 600 Mbit/s.",0.8820182085037231,0.8692181706428528,0.8755713701248169,0.9901009798049927,0.9843478202819824,0.9872159957885742
44,"Duvall, que está casado con dos hijos adultos, no dejó una gran impresión en Miller, con quien la historia estaba relacionada.","Duvall, que está casado y tiene dos hijos adultos, no causó una buena impresión a Miller, que fue a quien le relató la historia.","Duvall, quien está casado y tiene dos hijos adultos, no causó una gran impresión en Miller, a quien se le relató la historia.",0.9064555764198303,0.8793191909790039,0.8926812410354614,0.9208676218986511,0.8962739706039429,0.9084044098854065
45,"Cuando se me pidió un comentario, Miller dijo: ""Mike habla mucho durante la audiencia... Me estaba preparando para no oír lo que estaba diciendo"".","Al pedirle un comentario, Miller dijo: «Mike habla mucho durante la audiencia… Estaba preparándome, así que en verdad no pude escuchar lo que decía».","Cuando se le pidió un comentario, Miller dijo: ""Mike habla mucho durante la audiencia... Yo me estaba preparando, así que realmente no estaba escuchando lo que decía.""",0.8607850074768066,0.8368571400642395,0.8486524820327759,0.9326837658882141,0.9034494161605835,0.9178338050842285
46,"""Nos esforzaremos por reducir las emisiones de dióxido de carbono por unidad de PIB en un margen notable para 2020 con respecto al nivel de 2005,"" dijo Hu.","«Trabajaremos duro para reducir el nivel de dióxido de carbono emitido por unidad de PIB para el año 2020, de modo que la diferencia sea significativa en comparación con el 2005», afirmó Hu.","""Nos esforzaremos por reducir las emisiones de dióxido de carbono por unidad de PIB en un margen notable para 2020 en comparación con el nivel de 2005,"" dijo Hu.",0.8731337785720825,0.8474196791648865,0.860084593296051,0.9861437082290649,0.9829166531562805,0.9845274686813354
47,"No fijó una cifra para los recortes, diciendo que se harán sobre la base de la producción económica de China.",No mencionó una cifra para los recortes y manifestó que se harán en base a la producción económica de China.,"Él no estableció una cifra para los recortes, diciendo que se realizarán en función de la producción económica de China.",0.939777672290802,0.9323634505271912,0.9360558390617371,0.9335561990737915,0.937224268913269,0.9353866577148438
48,"Hu alentó a los países en desarrollo a ""evitar el viejo camino de contaminar primero y limpiar después"".",Hu incentivó a los estados en vías de desarrollo a «no volver al tradicional camino de contaminar primero y hacer limpieza después».,"Hu alentó a los países en desarrollo ""a evitar el viejo camino de contaminar primero y limpiar después.""",0.9210495948791504,0.8909274339675903,0.905738115310669,0.974994421005249,0.97126305103302,0.973125159740448
49,"Agregó que ""no se les debe pedir, sin embargo, que asuman obligaciones que vayan más allá de su etapa de desarrollo, responsabilidad y capacidades"".","Agregó: «Aun así, no es correcto exigirles que asuman obligaciones que sobrepasan su fase de desarrollo, su nivel de responsabilidad y sus capacidades».","Él agregó que ""sin embargo, no se les debería pedir que asuman obligaciones que vayan más allá de su etapa de desarrollo, responsabilidad y capacidades"".",0.8620551228523254,0.8574722409248352,0.8597575426101685,0.9594035148620605,0.9615834355354309,0.9604922533035278
50,El Grupo de Estudio sobre el Iraq presentó su informe hoy a las 12.00 horas GMT.,El Grupo de Estudio de Irak elevó hoy su informe a las 12:00 GMT.,El Grupo de Estudio sobre Irak presentó su informe hoy a las 12:00 GMT.,0.9227589964866638,0.9243091940879822,0.9235334396362305,0.9706799387931824,0.9831969738006592,0.9768983721733093
51,"Advierte que nadie puede garantizar que cualquier curso de acción en Irak en este momento detendrá la guerra sectaria, la creciente violencia o un deslizamiento hacia el caos.","Advierte que nadie puede dar garantías de que alguna acción iraquí en este punto detendrá la lucha sectaria, la creciente violencia o una inclinación hacia el caos.","Advierte que nadie puede garantizar que cualquier curso de acción en Irak en este momento detendrá la guerra sectaria, la creciente violencia o un deslizamiento hacia el caos.",0.9229786396026611,0.9217224717140198,0.9223501682281494,0.9999999403953552,0.9999999403953552,0.9999999403953552
52,El informe se abre con la petición de un debate abierto y la formación de un consenso en los Estados Unidos sobre la política hacia el Oriente Medio.,El informe comienza con un llamado a debate abierto y a formar un consenso en los Estados Unidos acerca de las políticas sobre el Oriente Medio.,El informe comienza con un llamado a un debate abierto y a la formación de un consenso en los Estados Unidos sobre la política hacia el Medio Oriente.,0.9035744667053223,0.9177327156066895,0.9105985760688782,0.9420449733734131,0.9484845399856567,0.9452537894248962
53,El informe es muy crítico con casi todos los aspectos de la política actual del Ejecutivo con respecto al Iraq e insta a un cambio inmediato de dirección.,"El informe es sumamente crítico con prácticamente cada aspecto de la política vigente del poder ejecutivo en Irak, y apela a un cambio inmediato de dirección.",El informe es muy crítico con casi todos los aspectos de la política actual del Ejecutivo hacia Irak y exige un cambio de dirección inmediato.,0.9066303968429565,0.9103606939315796,0.9084916710853577,0.9381039142608643,0.9662312269210815,0.9519598484039307
