id,translated_arabian,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
10,وفي حين يبدو أن أحد اللقاحات التجريبية قادر على الحد من الوفيات الناجمة عن فيروس إيبولا، فإنه حتى الآن، لم تظهر بوضوح أي عقاقير مناسبة لمعالجة العدوى القائمة.,بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,بينما يبدو أن لقاحاً تجريبياً واحداً قادر على تقليل معدل وفيات الإيبولا، وحتى الآن، لم يتم إثبات فعالية أي أدوية لعلاج العدوى الحالية بشكل واضح.,0.8268496990203857,0.8476614952087402,0.8371262550354004,0.7943259477615356,0.8015487790107727,0.7979209423065186
11,في البداية ، اظهر زْمَاب ، احد كوكتيلات الاجسام المضادة ، وعدا في الحقل ، لكن الدراسات الرسمية أشارت الى انه لا يستفيد كثيرا مما يُطلب منه في منع الوفاة .,كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعداً في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.,أظهر مزيج الأجسام المضادة المعروف باسم زيماب في البداية وعداً في هذا المجال، لكن الدراسات الرسمية أظهرت أنه كان له فائدة أقل مما تم السعي إليه في الحيلولة دون الوفاة.,0.7817903757095337,0.7758088111877441,0.778788149356842,0.797783374786377,0.8155395984649658,0.8065637350082397
12,في محاكمة PALM، كان زماب بمثابة التحكم، بمعنى أن العلماء استخدموه كخط أساس وقارنوا العلاجات الثلاثة الأخرى به.,في تجربة PALM، استُخدم عقار ZMapp كمعيار مراقبة، بمعنى أن العلماء وضعوه كأساس وقارنوا العلاجات الثلاثة الأخرى به.,في تجربة PALM، كان ZMapp يعمل كجهاز تحكم، مما يعني أن العلماء استخدموه كقاعدة وقارنوا العلاجات الثلاثة الأخرى به.,0.850973904132843,0.8449540138244629,0.8479533195495605,0.8623327016830444,0.8809298276901245,0.8715320229530334
13,وتؤيد الرياضيات في الولايات المتحدة الأمريكية رسالة اللجنة الأوليمبية في الولايات المتحدة وتقبل الحاجة المطلقة للأسرة الأوليمبية إلى تعزيز بيئة آمنة لجميع رياضيينا.,تدعم الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئةٍ آمنةٍ لجميعِ الرياضيين لدينا.,تدعم جمعية الجمباز الأمريكية رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة لعائلة الألعاب الأولمبية لتعزيز بيئة آمنة لجميع رياضينا.,0.8600964546203613,0.8544265031814575,0.8572521209716797,0.854350209236145,0.8818772435188293,0.8678955435752869
14,ونتفق مع ما جاء في بيان جامعة الدول الأمريكية من أن مصالح رياضيينا ونوادينا، ورياضتهم، يمكن أن تخدم على نحو أفضل من خلال المضي قدماً بتغيير ذي مغزى داخل منظمتنا، بدلاً من إعادة التصديق.,نتفق مع بيان اللجنة الأولمبية الأمريكية بأن مصالح الرياضيين والأندية، ورياضتهم، يمكن أن تُخدم بشكل أفضل من خلال المضي قدماً في تغيير ذي مغزى داخل مؤسستنا، بدلاً من سحب التراخيص.,نحن نتفق مع بيان اللجنة الأولمبية الأمريكية بأن مصالح رياضيينا وأنديتنا ورياضتنا قد يتم خدمتها بشكل أفضل من خلال المضي قدمًا نحو تغيير ذي مغزى داخل منظمتنا، بدلاً من إلغاء التصديق.,0.8883424997329712,0.8957138061523438,0.8920129537582397,0.8807069063186646,0.8850375413894653,0.8828669190406799
15,وتدعم هيئة الجمباز في الولايات المتحدة الأمريكية تحقيقاً مستقلاً قد يسلط الضوء على كيفية أن إساءة استخدام النسبة الموصوفة بشجاعة من جانب الناجين من لاري نصار يمكن أن تكون قد لم تكتشف لفترة طويلة جداً وأن تشمل أي تغييرات ضرورية وملائمة.,تدعم الولايات المتحدة للجمباز تحقيقًا مستقلًا قد يسلط الضوء على أن وصف الإساءة النسبية بشجاعةٍ من قبل الناجين من لاري نصار قد كان من الممكن ألا يتم اكتشافه لفترة طويلة بدون احتضان أية تغييرات ضرورية ومناسبة.,تدعم الجمباز الأمريكية تحقيقًا مستقلاً قد يسلط الضوء على كيفية عدم اكتشاف الإساءة بالقدر الذي وصفه الناجون من لاري ناصر بشجاعة لفترة طويلة، وتؤيد أي تغييرات ضرورية ومناسبة.,0.8589320182800293,0.8547083139419556,0.856814980506897,0.8277726769447327,0.8548527359962463,0.8410947918891907
16,وللرياضيين في الولايات المتحدة الأمريكية ومفوضية الولايات المتحدة الأمريكية نفس الهدف - جعل رياضة الجمباز، وغيرها، آمنة قدر الإمكان للرياضيين لمتابعة أحلامهم في بيئة آمنة وإيجابية ومتمكنة.,لدى الولايات المتحدة الأمريكية للجمباز و اللجنة الأولمبية الأمريكية نفس الهدف — وهو جعل رياضة الجمباز وغيرها، آمنةً قدر الإمكان للرياضيين لتحقيق أحلامهم في بيئة آمنة وإيجابية وقوية.,تهدف اتحاد الجمباز الأمريكي واللجنة الأولمبية الأمريكية إلى تحقيق نفس الهدف - وهو جعل رياضة الجمباز وغيرها من الرياضات آمنة قدر الإمكان للرياضيين لمتابعة أحلامهم في بيئة آمنة وإيجابية وممكّنة.,0.8871325254440308,0.8982909917831421,0.8926768898963928,0.8850185871124268,0.8718056678771973,0.8783624768257141
17,طوال الستينات، عمل برززينسكي لجون ف. كينيدي كمستشار له ثم إدارة ليندون ب. جونسون.,وفي ستينيات القرن الماضي، عمل بريجنسكي مستشاراً لجون إف كينيدي ثم عمل في إدارة ليندون جونسون.,خلال ستينيات القرن العشرين، عمل بريجنسكي كمستشار لدى جون كينيدي ثم لدى إدارة ليندون بي. جونسون.,0.8663960695266724,0.8724387288093567,0.8694068789482117,0.8719902038574219,0.8871415257453918,0.8795006275177002
18,وخلال الاختيارات التي أجراها في عام 1976، قدم المشورة إلى كارتر بشأن السياسة الخارجية، ثم عمل مستشارا للأمن القومي من عام 1977 إلى عام 1981، خلفا لهنري كيسنجر.,وخلال اختيارات عام 1976، عمل مستشاراً لكارتر للسياسة الخارجية، ثم عمل مستشاراً للأمن القومي من عام 1977 إلى عام 1981 خلفاً لهنري كيسنجر.,خلال اختيارات عام 1976، قدم النصيحة لكارتر بشأن السياسة الخارجية، ثم شغل منصب مستشار الأمن القومي من عام 1977 حتى 1981، خلفاً لهنري كيسنجر.,0.8587551712989807,0.9040470123291016,0.8808192610740662,0.8586697578430176,0.9002652764320374,0.8789757490158081
19,وكوكالة الأمن القومي، ساعد كارتر في التعامل الدبلوماسي مع الشؤون العالمية، مثل كامب ديفيد الاتفاقات، 1978؛ تطبيع العلاقات بين الولايات المتحدة والصين فكرت في أواخر السبعينات؛ الثورة الإيرانية، التي أدت إلى أزمة الرهائن إيران، 1979؛ والغزو السوفياتي في أفغانستان، 1979.,خلال شغله لمنصب مستشار في الأمن القومي، ساعد كارتر ديبلوماسياً في إدارة شؤون العالم مثل اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية والصينية في أواخر السبعينيات؛ والثورة الإيرانية التي أدت إلى كارثة الرهائن الإيرانية عام 1979؛ والاحتلال السوفييتي لأفغانستان عام 1979.,بصفته مستشاراً للأمن القومي، ساعد كارتر في التعامل الدبلوماسي مع الشؤون العالمية، مثل اتفاقيات كامب ديفيد عام 1978؛ تطبيع العلاقات الأمريكية-الصينية خلال أواخر السبعينيات؛ الثورة الإيرانية التي أدت إلى أزمة الرهائن في إيران عام 1979؛ والغزو السوفيتي لأفغانستان عام 1979.,0.8541524410247803,0.8455232381820679,0.8498159646987915,0.8930164575576782,0.8909727334976196,0.8919934630393982
20,وقد تلقى الفيلم، الذي يعرض رايان غوسلينغ وإيما ستون، ترشيحات من جميع الفئات الرئيسية.,وقد تلقى الفيلم الذي يضم رايان غوسلينغ وإيما ستون، ترشيحات في جميع الفئات الرئيسية.,نال الفيلم، الذي يضم رايان غوسلينغ وإيما ستون، ترشيحات في جميع الفئات الرئيسية.,0.9663666486740112,0.9718169569969177,0.9690841436386108,0.957197368144989,0.9670808911323547,0.9621137976646423
21,وتلقت غوسلينغ وستون ترشيحات لأفضل الممثلين وللممثلين على التوالي.,تلقى جوسلينغ وستون ترشيحات لأفضل ممثل وممثلة على الترتيب.,تلقى جوسلينغ وستون ترشيحات لجائزة أفضل ممثل وممثلة على التوالي.,0.8507430553436279,0.8695904016494751,0.8600634932518005,0.8723978400230408,0.893038809299469,0.8825976252555847
22,وتشمل الترشيحات الأخرى أفضل صورة، مدير، السينما، تصميم الملابس، تصميم الأفلام، تحرير الأفلام، التسجيل الأصلي، التصميم الإنتاجي، التحرير السليم، المزج السليم، السيناريو الأصلي.,تشمل الترشيحات الأخرى جائزة أفضل فيلمٍ ومخرجٍ وتصويرٍ سينمائيٍّ وتصميم أزياء ومونتاج وموسيقى تصويرية و تصميم إنتاج و تعديل الصوت ومزج الصوت وسيناريو أصلي.,تشمل الترشيحات الأخرى أفضل فيلم، وأفضل مخرج، وتصوير سينمائي، وتصميم أزياء، وتحرير الفيلم، والموسيقى الأصلية، وتصميم الإنتاج، وتحرير الصوت، ومزج الصوت، والسيناريو الأصلي.,0.7923648357391357,0.7588881254196167,0.7752652764320374,0.8355737328529358,0.8269640803337097,0.831246554851532
23,"وتلقت اغنيتان من الفيلم، وهما "" العرض التجريبي "" و "" مدينة النجوم "" ، ترشيحات لأفضل اغنية أصلية، وتلقى استوديو "" لاوسغيت "" 26 ترشيحا - أكثر من أي استوديو آخر.",تلقت أغنيتان من الفيلم، تجربة أداء (The Fools Who Dream) وCity of Stars، ترشيحات لأفضل أغنية أصلية. تلقى استوديو Lionsgate 26 ترشيحاً — أكثر من أي استوديو آخر.,"تم ترشيح أغنيتين من الفيلم، ""اختبار الأداء (الأغبياء الذين يحلمون)"" و""مدينة النجوم""، لجائزة أفضل أغنية أصلية. حصلت استوديوهات لاينزغيت على 26 ترشيحًا - أكثر من أي استوديو آخر.",0.8296145796775818,0.8408324122428894,0.8351858258247375,0.8590909838676453,0.8418869972229004,0.8504019975662231
24,وفي وقت متأخر من يوم الأحد، أعلن رئيس الولايات المتحدة دونالد ترامب، في بيان أدلى به عن طريق أمين الصحافة، أن القوات الأمريكية ستغادر سوريا.,في وقت متأخر من يوم الأحد، أعلن رئيس الولايات المتحدة دونالد ترامب، في بيان ألقاه عن طريق السكرتير الصحفي، أن القوات الأميركية ستغادر سوريا.,في وقت متأخر من يوم الأحد، أعلن رئيس الولايات المتحدة دونالد ترامب، في بيان تم تقديمه عبر المتحدث باسم الصحافة، أن القوات الأمريكية ستغادر سوريا.,0.9567815065383911,0.9412391781806946,0.9489467144012451,0.9580888152122498,0.9579688310623169,0.9580288529396057
25,وقد صدر الإعلان بعد أن أجرى ترامب محادثة هاتفية مع الرئيس التركي رجب طيب أردوغان.,تم عمل الإعلان بعد أن قام ترامب بمحادثة هاتفية مع الرئيس التركي رجب الطيب أردوغان.,تم الإعلان بعد أن أجرت ترامب محادثة هاتفية مع الرئيس التركي رجب طيب أردوغان.,0.9336976408958435,0.9322851896286011,0.9329909086227417,0.9722102880477905,0.9762027859687805,0.9742023944854736
26,وستتولى تركيا أيضا حراسة مقاتلي داعش الأسرى الذين، كما قال البيان، رفضت الدول الأوروبية العودة إلى الوطن.,وستتولى تركيا أيضاً حراسة مقاتلي داعش الذين تم أسرهم، وقال البيان إن الدول الأوروبية رفضت إعادتهم.,تركيا ستتولى أيضًا حراسة مقاتلي داعش الذين تم القبض عليهم، حيث قالت البيان إن الدول الأوروبية قد رفضت إعادتهم إلى بلدانهم.,0.8830468058586121,0.882573664188385,0.8828101754188538,0.8751288056373596,0.8468803763389587,0.8607728481292725
27,وهذا لا يؤكد فقط أن بعض الديناصورات على الأقل كان لها ريش، وهي نظرية منتشرة بالفعل، ولكنه يقدم تفاصيل لا يمكن للأحافير عموماً، مثل اللون والترتيبات الثلاثية الأبعاد.,لا يؤكد الأمر فحسب أن بعض من الديناصورات على أقل تقدير كانت ذات ريش، وهي نظرية شائعة بالفعل، ولكنه يقدم أيضاً تفاصيل تعجز الأحفوريات عن تقديمها في العموم، كاللون والترتيب ثلاثيّ الأبعاد.,هذا لا يؤكد فقط أن بعض الديناصورات على الأقل كانت لديها ريش، وهي فرضية منتشرة بالفعل، بل يوفر أيضًا تفاصيل لا تستطيع الحفريات عمومًا تقديمها، مثل اللون والترتيب ثلاثي الأبعاد.,0.8603328466415405,0.8389208316802979,0.8494919538497925,0.9071882963180542,0.9020853638648987,0.9046295881271362
28,يقول العلماء أنّ عمود هذا الحيوان كان كستنائيّاً مُؤلّفاً على القمة مع شاحب أو كروتونيويد ملوّن تحتيّاً.,يقول العلماء أن ريش هذا الحيوان كان بنياً كستنائياً من الأعلى وجانبه السفلي شاحباً أو بلون الكاروتينات.,يقول العلماء إن ريش هذا الحيوان كان بنيًّا كستنائيًا من الأعلى ولونه فاتح أو ملون بالكاروتينويد من الأسفل.,0.7776057720184326,0.8155470490455627,0.7961246967315674,0.7972347140312195,0.8141297101974487,0.8055936098098755
29,ويمنح هذا البحث ايضا فكرة عن تطور الريش في الطيور .,يمنح الاكتشاف أيضاً نظرة على تطور الريش في الطيور.,الاكتشاف يوفر أيضًا رؤى حول تطور الريش في الطيور.,0.8769585490226746,0.8848282098770142,0.880875825881958,0.8625940680503845,0.8612909913063049,0.8619419932365417
30,ولأن ريش الديناصورات ليس له عمود متطور جيدا ، يُدعى رعد ، ولكن لديه سمات اخرى من الريش — بارب والبارپل — استنتج الباحثون ان الريش من المرجح ان يكون تطورا تطوريا لاحقا في هذه الملامح الاخرى .,"نظراً لأن ريش الديناصورات لا يحتوي محوراً متطوراً بالكامل، والذي يطلق عليه اسم ""محور النورة""، ولكن لديهم خصائص أخرى للريش - كالقصيبات والقصيبات الصغرى - استنتج الباحثون أن محور النورة كان على الأرجح نشأة تطورية لاحقة لهذه الخصائص الأخرى.",لأن ريش الديناصورات لا يحتوي على عنق جيد التطور، يسمى الراخس، ولكنه يحتوي على ميزات أخرى للريش - مثل الشعيرات والشعيرات الصغيرة - استنتج الباحثون أن الراخس من المرجح أن يكون تطوراً evolutionary لاحقاً مقارنة بهذه الميزات الأخرى.,0.7952299118041992,0.7737094163894653,0.7843220829963684,0.8276250958442688,0.8313987851142883,0.8295076489448547
31,تشير بنية الريش إلى أنها لم تُستخدم في الطيران بل في تنظيم أو عرض درجة الحرارة. اقترح الباحثون أنه على الرغم من أن هذا هو ذيل ديناصور شاب، فإن العينة تظهر رطوبة بالغة وليس فتاة في الأسفل.,تشير بنية الأجنحة إلى أنه لم يتم استخدامهم في الطيران بل لتنظيم درجة الحرارة أو للاستعراض. يقترح الباحثون أنه على الرغم من أن هذا الذيل يخص ديناصوراً صغيراً إلا أن العينة تظهر ريشاً بالغاً وليس مؤخرة كتكوت.,تشير بنية الريش إلى أنه لم يُستخدم في الطيران، بل ربما لتنظيم درجة الحرارة أو للعرض. اقترح الباحثون أنه على الرغم من أن هذا ذيل ديناصور شاب، إلا أن العينة تظهر ريشًا بالغًا وليس زغب دجاجة.,0.8755550384521484,0.8533434867858887,0.8643065690994263,0.911383867263794,0.8953928351402283,0.9033175706863403
32,اقترح الباحثون أنه، على الرغم من أن هذا هو ذيل ديناصور شاب، فإن العينة تظهر رطوبة بالغة وليس فتاة إلى أسفل.,أشار الباحثون إلى أنه على الرغم من أن هذا ذيل ديناصور صغير، إلا أن العينة تُظهر ريش طائر بالغ وليس ريش كتكوت.,اقترح الباحثون أنه، على الرغم من أن هذه هي ذيل ديناصور صغير، فإن العينة تُظهر ريشاً ناضجاً وليس زغب فرخ.,0.8599980473518372,0.8605654835700989,0.8602817058563232,0.8938653469085693,0.8920612931251526,0.8929623961448669
33,وقد انفجرت سيارة مفخخة في مقر الشرطة في غازيانتيب بتركيا صباح أمس وقتلت شرطيين وأصابت أكثر من عشرين شخصا آخرين بجروح.,لقد انفجرت سيارة ملغومة صباح أمس في قسم للشرطة في غازي عنتاب في تركيا، مما تسبب بمقتل ضابطين من الشرطة وإصابة أكثر من عشرين آخرين بجروح.,لقد انفجرت سيارة ملغومة صباح أمس في قسم للشرطة في غازي عنتاب في تركيا، مما تسبب بمقتل ضابطين من الشرطة وإصابة أكثر من عشرين آخرين بجروح.,0.8650253415107727,0.8483633995056152,0.8566133975982666,0.8650253415107727,0.8483633995056152,0.8566133975982666
34,وقال مكتب الحاكم أن تسعة عشر من الجرحى كانوا من ضباط الشرطة.,وقال مكتب المحافظ أن ١٩ من المصابين كانوا من ضباط الشرطة.,وقالت مكتب المحافظ إن تسعة عشر من المصابين كانوا من رجال الشرطة.,0.9196972846984863,0.9220613241195679,0.9208777546882629,0.9355399012565613,0.9263606071472168,0.930927574634552
35,وقالت الشرطة إنها تشتبه في أن شخصاً يدعى أنه من جماعة الدايش هو مناضل لمسؤولية الهجوم.,وقالت الشرطة إنها تشتبه في مسؤولية أحد مقاتلي داعش المزعومين عن الهجوم.,قالت الشرطة إنهم يشتبهون في أن أحد militants المزعومين لداعش (ISIL) مسؤول عن الهجوم.,0.81797194480896,0.8372997045516968,0.8275229334831238,0.8067783117294312,0.7979506254196167,0.8023402094841003
36,وجدوا أن الشمس تعمل على نفس المبادئ الأساسية مثل النجوم الأخرى: نشاط كل النجوم في النظام تم العثور على أن يكون مدفوعا من خلال تذبذبها، دورانها، ولا شيء آخر.,وجدوا أن الشمس تعمل على نفس المبادئ الأساسية للنجوم الأخرى: وُجد أن نشاط جميع النجوم في النظام منقادٌ من خلال لمعانها ودورانها فقط.,وجدوا أن الشمس تعمل وفق نفس المبادئ الأساسية مثل النجوم الأخرى: تبين أن نشاط جميع النجوم في النظام مدفوع بلمعانها، ودورانها، ولا شيء آخر.,0.8175897598266602,0.8635669946670532,0.8399496674537659,0.8693056106567383,0.9130984544754028,0.8906640410423279
37,يستخدم التلوّح والتناوب معاً لتحديد عدد الروسبي للنجم، والذي يرتبط بتدفق البلازما.,تستخدم الضيائيّة والدوران معاً في تحديد رقم روسبي الخاص بالنجم، والمتعلّق بتدفّق البلازما.,يتم استخدام اللمعان والدوران معًا لتحديد رقم روسبي للنجم، والذي يرتبط بتدفق البلازما.,0.851752519607544,0.8461236357688904,0.848928689956665,0.891502857208252,0.9215858578681946,0.9062948226928711
38,كلما كان رقم (روسبي) أصغر، كلما قل نشاط النجم فيما يتعلق بالإنعكاسات المغناطيسية.,كلّما قل رقم روسبي، كلما قل نشاط النجم بالنسبة للتقلّبات المغناطيسيّة.,كلما كان عدد روسبي أصغر، كانت النجمة أقل نشاطًا فيما يتعلق بانعكاسات المغناطيس.,0.862389326095581,0.8808981776237488,0.8715454339981079,0.8663265705108643,0.8843056559562683,0.8752237558364868
39,وخلال رحلته ، واجهت مشاكل في مناسبات عديدة .,وخلال رحلته، واجه إيواساكي مشاكل في العديد من المناسبات.,خلال رحلته، واجه إيوواساكي مشاكل في العديد من المناسبات.,0.9131749272346497,0.8261973261833191,0.8675114512443542,0.8796232342720032,0.7982186079025269,0.8369461297988892
40,وسرقه قراصنة، وهاجمه كلب مسعور في التبت، وهرب من الزواج في نيبال واعتقل في الهند.,وقد تعرض للسرقة من قبل قراصنة، وهوجم في التبت من قبل كلب مسعور، ونجا من الزواج في نيبال وتم القبض عليه في الهند.,تمت سرقته على يد قراصنة، وتعرض لهجوم من كلب مسعور في التبت، وهرب من الزواج في نيبال، وتم القبض عليه في الهند.,0.8743637800216675,0.8518205285072327,0.8629449605941772,0.9037761688232422,0.8759065270423889,0.8896231651306152
41,ويعمل معيار 802.11n على الترددين 2.4 غيغاهرتز و 5.0 غيغاهرتز.,يعمل معيار 802.11n اللاسلكي على ترددي 2.4 جيغاهرتز و5.0 جيغاهرتز.,يعمل معيار 802.11n على ترددات 2.4 جيجاهرتز و5.0 جيجاهرتز.,0.9213178157806396,0.9131953716278076,0.9172385931015015,0.8791025280952454,0.9118595123291016,0.8951814770698547
42,وهذا سيتيح لها أن تكون متوافقة مع 802.11a و 802.11b و 802.11g، شريطة أن تكون محطة القاعدة مزودة بأجهزة لاسلكية مزدوجة.,تسمح إمكانية عمل المعيار على الترددين أن يكون متوافقاً مع معايير سابقة له وتحديداً 802.11a و802.11b و802.11g وذلك على شرط امتلاك المحطة الأساسية لأجهزة راديو مزدوجة.,سيسمح ذلك بأن يكون متوافقًا مع الإصدارات السابقة 802.11a و 802.11b و 802.11g، بشرط أن يكون محطة القاعدة تحتوي على رادارين مزدوجين.,0.7997840642929077,0.7429966330528259,0.7703452110290527,0.8761566877365112,0.8759051561355591,0.8760309219360352
43,وسرعة الـ 802.11n أسرع بكثير من سرعة سابقيها بأقصى ناتج نظري قدره 600 ميغابايت/ثانية.,سرعات 802.11n أكبر بكثير من سرعات سابقيه بناتج نظري أقصاه 600 ميغابيت في الثانية.,سرعات 802.11n أسرع بشكل ملحوظ من سابقتها مع قدرة نقل نظرية قصوى تصل إلى 600 ميجابت في الثانية.,0.8213318586349487,0.8421785235404968,0.8316245675086975,0.815813422203064,0.8157665729522705,0.8157899975776672
