id,translated_chinese,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
10,"虽然一种实验疫苗似乎能够降低埃博拉的死亡率,但直到现在为止,显然没有任何药物适合治疗现有感染。",虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,虽然一种实验疫苗似乎能够降低埃博拉的死亡率，但到目前为止，还没有药物被明确证实适合用于治疗现有感染。,0.9134172797203064,0.8809038400650024,0.8968660235404968,0.9361858367919922,0.9064533710479736,0.921079695224762
11,"一种抗体鸡尾酒,Zmapp, 最初在实地表现出了希望, 但正式研究表明,在防止死亡方面,它的好处比寻求的要小。",一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,一种抗体鸡尾酒，ZMapp，最初在这一领域显示出希望，但正式研究表明，它在预防死亡方面的益处不如预期。,0.7868266105651855,0.7599481344223022,0.7731538414955139,0.8741766810417175,0.8856992125511169,0.8799002170562744
12,"在PALM试验中,ZMapp起到控制作用,这意味着科学家用它作为基线,并将其他三种治疗方法与它作比较。",在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,在PALM试验中，ZMapp被作为对照，意味着科学家将其作为基准，并将其他三种治疗与其进行比较。,0.8646448850631714,0.8843892216682434,0.874405562877655,0.8676949739456177,0.8975566029548645,0.8823732137680054
13,"美国健身师协会支持美国奥林匹克委员会的信,并接受奥林匹克大家庭绝对需要为我们所有运动员促进一个安全的环境。",美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。,美国体操协会支持美国奥林匹克委员会的信件，并接受奥林匹克大家庭在为我们的运动员提供安全环境方面的绝对必要性。,0.8133080005645752,0.8146729469299316,0.8139898777008057,0.8880020976066589,0.8746122121810913,0.8812562823295593
14,"我们同意美国体育联盟理事会的说法,即通过在我们组织内进行有意义的变革而不是取消认证,可能更好地满足我们运动员和俱乐部及其体育的利益。",我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。,我们同意美国奥林匹克委员会的声明，即我们的运动员、俱乐部和他们的运动的利益可能通过在我们组织内部推进有意义的变革，而不是取消认证，得到更好的服务。,0.8240929245948792,0.8242462873458862,0.8241695761680603,0.8577699661254883,0.8385703563690186,0.8480615019798279
15,"美国妇科医生支持一项独立调查,该调查可能揭示出Larry Nassar幸存者如此勇敢地描述的滥用比例是如何长期无法被发现的,并包含任何必要和适当的改变。",根据美国体操协会支持的一项独立调查，我们也许能够得知，幸存者勇敢曝光的、拉里·纳萨尔的大规模性侵行为，为什么在这么长时间内都没有被发现。此外，协会还表示会做出必要和适当的整改。,美国体操协会支持一项独立调查，以揭示拉里·纳萨尔的幸存者们所勇敢描述的虐待情况是如何能够长时间未被发现的，并且欢迎任何必要和适当的变革。,0.7463299632072449,0.6996234655380249,0.7222224473953247,0.8382924795150757,0.8222259283065796,0.8301814198493958
16,"美国健身师和USOC有着同样的目标——使体操运动和其他运动尽可能安全,使运动员能够在安全、积极和增强权能的环境中追寻梦想。",美国体操协会和美国奥委会有一个共同的目标，那就是尽可能保证体操运动和其他运动的安全性，让运动员在安全、积极和充满支持的环境中追求他们的梦想。,美国体操协会和美国奥林匹克委员会有着相同的目标——让体操及其他运动尽可能安全，让运动员在一个安全、积极和充满力量的环境中追梦。,0.848657488822937,0.8171164989471436,0.8325884342193604,0.8839632272720337,0.84903883934021,0.8661491274833679
17,"1960年代,Brzezinski一直为约翰·肯尼迪(John F. Kennedy)工作,任他的顾问,然后任林登·B·约翰逊(Lyndon B. Johnson)政府。",20 世纪 60 年代，布热津斯基先是为约翰·福特·肯尼迪效力，担任他的顾问，后来又为林登·贝恩斯·约翰逊政府工作。,在1960年代，布热津斯基为约翰·F·肯尼迪担任顾问，随后又为林登·约翰逊政府工作。,0.7682031393051147,0.7982648611068726,0.7829455733299255,0.786515474319458,0.8338115811347961,0.8094732761383057
18,"在1976年甄选期间,他就外交政策向卡特提供咨询意见,1977年至1981年担任国家安全顾问,接替亨利·基辛格。",在 1976 年总统选举期间，他为卡特提供了对外政策方面的建议，随后在 1977 到 1981 年接替亨利·基辛格担任国家安全顾问 (NSA) 。,在1976年的选举中，他向卡特提供了外交政策的建议，随后在1977年至1981年期间担任国家安全顾问，接替亨利·基辛格。,0.8866785764694214,0.8392760753631592,0.8623263835906982,0.9105030298233032,0.8938101530075073,0.9020793437957764
19,"作为国家安全局,他协助卡特在外交上处理世界事务,如1978年《戴维营协议》、美中关系正常化于1970年代末期、伊朗革命导致伊朗人质危机(1979年)和苏联入侵阿富汗(1979年)等。",身为国家安全顾问，他曾协助卡特处理诸多国际事务，例如 1978 年签署《戴维营协议》；在20 世纪 70 年代末实现美中关系正常化；1979 年导致伊朗人质危机的伊朗革命；1979 年苏联入侵阿富汗。,作为国家安全顾问，他协助卡特在外交上处理世界事务，例如1978年的戴维营协议；在1970年代末期正常化美中关系；伊朗革命，这导致了1979年的伊朗人质危机；以及1979年苏联入侵阿富汗。,0.8640040159225464,0.8636107444763184,0.8638073205947876,0.8962894082069397,0.8972173929214478,0.8967531323432922
20,"这部电影以Ryan Gosling和Emma Stone为主,获得所有主要类别的提名。",这部由瑞恩·高斯林 (Ryan Gosling) 和艾玛·斯通 (Emma Stone) 主演的电影获得了各大奖项的提名。,这部电影，由瑞恩·高斯林和艾玛·史东主演，获得了所有主要类别的提名。,0.7720823884010315,0.6625791192054749,0.713151752948761,0.8497076034545898,0.7543817758560181,0.7992122173309326
21,Gosling和Stone分别收到了最佳演员和演员的提名。,高斯林和斯通分别获得了最佳男主角和最佳女主角的提名。,戈斯林和斯通分别获得了最佳男演员和最佳女演员的提名。,0.8501161336898804,0.7928855419158936,0.8205040693283081,0.8929204940795898,0.8233602046966553,0.8567307591438293
22,其他提名包括最佳图片、电影摄影主任、制片设计主任、电影设计、电影编辑、原创分数、制作设计、音响编辑、音响混音和原剧本。,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳电影剪辑、最佳原创配乐、最佳艺术指导、最佳音效剪辑、最佳混音和最佳原创剧本。,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳剪辑、最佳原创音乐、最佳美术设计、最佳音效剪辑、最佳音效混音和最佳原创剧本。,0.8419753313064575,0.8469746708869934,0.8444675803184509,0.8299945592880249,0.8547462224960327,0.8421885371208191
23,"这部电影的两首歌曲,即影视(《愚人梦游》)和《星城》获得最佳原创歌曲提名,狮子门演播室获得26个提名,比任何其他演播室都多。",该电影的两首歌曲《追梦痴子心》和《星光之城》获得了最佳原创歌曲的提名。狮门影业获得了 26 项提名，比其他任何一家工作室都要多。,电影《试镜》（《梦想愚者》）中的两首歌《Audition (The Fools Who Dream)》和《City of Stars》获得了最佳原创歌曲提名。狮门影业获得了26项提名——这是所有影业中最多的。,0.8392074704170227,0.8471846580505371,0.8431771993637085,0.7847762703895569,0.760787844657898,0.7725958228111267
24,"美国总统唐纳德·特朗普(Donald Trump)通过新闻秘书发表声明, 宣布美军将离开叙利亚,",周日晚些时候，美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美军将撤离叙利亚。,星期天晚些时候， 美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美国军队将离开叙利亚。,0.912125825881958,0.8846328258514404,0.8981689810752869,0.9138119220733643,0.8736570477485657,0.8932834267616272
25,"Trump与土耳其总统雷杰普·塔伊普·埃尔多安通了电话之后,",特朗普与土耳其总统雷杰普·塔伊普·埃尔多安（Recep Tayyip Erdoğan）通话后发表了声明。,在特朗普与土耳其总统雷杰普·塔伊普·埃尔多安通话后，宣布了这一消息。,0.9001072645187378,0.8108410835266113,0.8531455397605896,0.9018636345863342,0.8113797903060913,0.8542323112487793
26,"土耳其还将接管被俘的伊斯兰国战斗人员的警卫工作,该声明说,欧洲国家拒绝遣返。",该声明称，土耳其还将接管对被捕的伊斯兰国武装分子的看守任务；欧洲国家拒绝将他们遣送回国。,土耳其还将负责看守被捕的ISIS战斗人员，声明指出，欧洲国家拒绝遣返这些人员。,0.8840650916099548,0.8471956253051758,0.8652377128601074,0.8358761072158813,0.8662524223327637,0.8507932424545288
27,"这不仅证实至少有一些恐龙有羽毛,这种理论已经很普遍,而且还提供了一般无法提供的细节化石,例如颜色和三维安排。",这不仅证实了至少有些恐龙有羽毛——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色和三维排列。,这不仅确认了至少一些恐龙有羽毛，这个理论已经十分普遍，还提供了化石通常无法提供的细节，比如颜色和三维排列。,0.8973571062088013,0.8788915872573853,0.8880283236503601,0.9244400858879089,0.9307548999786377,0.9275867342948914
28,科学家说这只动物的羽毛 上面是棕褐的栗子 上面是苍白的或焦素色的,科学家表示，这种动物的羽毛顶部为栗棕色，底部为浅色或胡萝卜色。,科学家表示，这种动物的羽毛上面是栗棕色的，下面则是浅色或类胡萝卜素的颜色。,0.8102999329566956,0.8224306702613831,0.8163202404975891,0.8459821939468384,0.8141797780990601,0.829776406288147
29,该发现还有助于深入了解鸟类羽毛的进化过程。,这一发现也有助于深入了解鸟类羽毛的进化。,这个发现还提供了对鸟类羽毛演化的深入了解。,0.9440824389457703,0.9568480253219604,0.9504224061965942,0.8565267324447632,0.8585764765739441,0.8575503826141357
30,"因为恐龙羽毛没有发达的轴线,叫做拉奇,但确实有羽毛的其他特征——巴布和巴布——研究人员推断拉奇羽毛可能是后来的进化发展与其他特征一样。",恐龙的羽毛并没有发育良好的主干——这称为“羽轴”，但还是有羽毛的其他特征，比如羽枝和羽小枝，研究人员推断羽轴的进化可能比这些其他特征晚。,因为恐龙的羽毛没有发达的轴心，称为羽轴，但有羽毛的其他特征——羽枝和羽小枝——研究人员推测羽轴可能是这些其他特征之后的一个演化发展。,0.7745541930198669,0.7880187034606934,0.7812284231185913,0.8481624126434326,0.8635799884796143,0.8558017611503601
31,"羽毛结构表明,它们不是用于飞行,而是用于温度调节或显示。 研究人员建议,即使这是一只年轻的恐龙的尾巴,样本显示的是成年羽毛而不是小鸡的下方。",羽毛的结构表明它们不是用来飞行的，而是用来调节温度或炫耀的。研究人员认为，尽管这是一只年轻恐龙的尾巴，但样本显示的是成熟的羽衣，而不是幼崽的羽毛。,羽毛的结构表明它们不是用来飞行的，而是用于温度调节或展示。研究人员提出，尽管这是一只年轻恐龙的尾巴，但样本显示出成年羽毛，而不是幼鸟的绒毛。,0.8954975605010986,0.8880414366722107,0.8917538523674011,0.9090651273727417,0.9086612462997437,0.9088631868362427
32,"研究人员建议,即使这是一只年轻的恐龙的尾巴, 样本显示的是成年羽毛, 而不是小鸡的下降。",研究人员认为，尽管这是一只年轻恐龙的尾巴，但样本显示的是成年羽毛，而非雏龙的绒毛。,研究人员建议，即使这是一只年轻恐龙的尾巴，样本显示的是成年羽毛，而不是小鸟的绒毛。,0.8867561221122742,0.9055253267288208,0.8960424661636353,0.9454852342605591,0.9603971242904663,0.9528828263282776
33,"昨天上午在土耳其Gaziantep警察总部引爆的一枚汽车炸弹炸死了两名警官,炸伤20多人。",昨日上午，土耳其加齐安泰普（Gaziantep）的警察总部发生了一起汽车炸弹爆炸事件，该事件导致两名警察死亡，20 余人受伤。,昨天早晨，在土耳其加济安泰普的警察总部发生了一起汽车炸弹爆炸事件，导致两名警察遇难，另有超过二十人受伤。,0.8512551188468933,0.7711591720581055,0.8092300295829773,0.8418937921524048,0.7721258401870728,0.8055019378662109
34,"州长办公室说,19名受伤者是警察。",州长办公室表示，伤者中有十九人是警察。,州长办公室表示，有十九名受伤者是警察。,0.9052178263664246,0.8643229603767395,0.8842978477478027,0.953233540058136,0.9188908338546753,0.9357471466064453
35,"警察说,他们怀疑一名据称是Dash(伊黎伊斯兰国)的好战分子对这次袭击负责。",警方说他们怀疑一名疑似伊斯兰国 (ISIL) 的武装分子发动了这场袭击。,警方表示，他们怀疑一名涉嫌的“伊斯兰国” (ISIL) 武装分子对这起攻击负有责任。,0.8338935375213623,0.8647069334983826,0.8490207195281982,0.8543632626533508,0.8670881390571594,0.8606786727905273
36,他们发现太阳的运行原理与其他恒星一样: 系统中所有恒星的活动 都以它们的光度、旋转和旋转为动力。,他们发现，太阳和其他恒星的运行原理是一样的：星系中所有恒星的活跃度都完全决定于它们的光度和自转。,他们发现太阳的运作遵循与其他恒星相同的基本原则：发现系统中所有恒星的活动都是由它们的亮度、旋转驱动的，而没有其他因素。,0.8726968169212341,0.8649724125862122,0.8688174486160278,0.9016907811164856,0.839601993560791,0.8695394396781921
37,光度和旋转用在一起 确定恒星的罗斯比号 与等离子体流有关,一颗恒星的罗斯贝数由其光度和旋度共同决定，与等离子体流有关。,亮度和旋转一起用于确定恒星的罗斯比数，这与等离子体流动有关。,0.8000321388244629,0.7923805713653564,0.7961879372596741,0.8620732426643372,0.837600827217102,0.8496608138084412
38,"罗斯比数字越小,恒星在磁反转方面活动越少。",罗斯贝数越小，恒星在磁场倒转方面就越不活跃。,罗斯比数越小，星星在磁场反转方面的活动性越低。,0.8745797872543335,0.8649648427963257,0.8697457313537598,0.9086413383483887,0.890289306640625,0.8993716835975647
39,Iwasaki在旅途中多次遇到麻烦。,在旅途中，岩崎在很多场合碰到了麻烦。,在他旅行期间，岩崎多次遇到麻烦。,0.8442399501800537,0.7950268983840942,0.8188947439193726,0.8670757412910461,0.8141781091690063,0.8397946953773499
41,802.11n标准对2.4Ghz和5.0Ghz频率都适用。,802.11n 标准在 2.4Ghz 和 5.0Ghz 频率上都可运行。,802.11n标准在2.4GHz和5.0GHz频率上均可工作。,0.9341726303100586,0.9065424799919128,0.920150101184845,0.9243783950805664,0.8952562212944031,0.9095842838287354
42,"这将使其与802.11a、802.11b和802.11g相容,只要基地台有双收音机。",它能向后兼容 802.11a、802.11b 和 802.11g，前提是基站要有双无线电。,这将使其与802.11a、802.11b和802.11g向后兼容，前提是基站必须有双无线电。,0.8442776203155518,0.8300884962081909,0.8371229767799377,0.9038184881210327,0.8622353076934814,0.8825373649597168
43,"802.11n的速度大大快于其前身的802.11n速度,其最高理论通过量为600Mbit/s。",802.11n 的速度大大快于前代技术，最大理论吞吐量可达 600Mbit/s。,802.11n的速度远远快于其前辈，最大理论吞吐量达到600Mbit/s。,0.8609322309494019,0.8691278696060181,0.8650106191635132,0.8635922074317932,0.87566077709198,0.8695846199989319
44,"与两个成年子女结婚的Duvall没有给Miller留下深刻印象,",杜瓦尔已婚，有两个已经成年的孩子，他并没有给故事的讲述者米勒留下太大印象。,杜瓦尔已婚且有两个成年子女，对米勒并没有留下很深的印象，故事是由他转述的。,0.7899996638298035,0.6982299089431763,0.7412853837013245,0.8150351047515869,0.7136199474334717,0.7609634399414062
45,"Miller在问及评论时说, “Mike在听证会上谈了很多话......我正在准备,所以我真的没有听到他在说什么。”",当被要求发表看法时，米勒说：“迈克在听证会上说了很多……我当时正在做准备，所以没听清他在说什么。”,当被问及对此的看法时，米勒说：“迈克在听证会上说了很多……我当时在准备，所以其实没太听到他说的内容。”,0.8069145679473877,0.8054790496826172,0.8061961531639099,0.8000077605247498,0.7850874662399292,0.7924774289131165
46,"胡锦涛说:「我们将努力在2020年之前, 将每单位GDP二氧化碳排放量比2005年水平降低一个显著的幅度。",“到 2020 年之前，我们将努力使单位国内生产总值二氧化碳排放量比 2005 年显著下降，”胡锦涛说。,胡说：“到2020年，我们将努力将单位GDP的二氧化碳排放量比2005年的水平大幅度减少。”,0.8118793964385986,0.8369602560997009,0.8242290019989014,0.8221372961997986,0.8693369626998901,0.8450786471366882
47,"他并没有为削减设定一个数字,说削减将以中国的经济产出为基础。",他没有设定削减数额，只是表示将根据中国的经济产出来决定数额。,他没有确定削减的具体数字，表示这些削减将依据中国的经济产出进行。,0.8185552358627319,0.8188961744308472,0.8187256455421448,0.8308635950088501,0.819564938545227,0.8251755833625793
48,"胡图人鼓励发展中国家「避免旧路先污染,后清理」。",胡锦涛鼓励发展中国家“不要重走先污染后治理的老路”。,胡鼓励发展中国家“避免走上先污染后治理的老路。”,0.797999382019043,0.7818508744239807,0.7898426055908203,0.815210223197937,0.8204183578491211,0.8178059458732605
49,"他补充说,“然而,不应要求它们承担超越其发展阶段、责任和能力的义务。”",他补充道，“然而，他们不应该被要求承担超出其发展阶段、责任和能力范围的义务。”,他还补充道，“然而，不应该要求他们承担超出他们发展阶段、责任和能力的义务。”,0.939616322517395,0.9092512726783752,0.9241844415664673,0.9470963478088379,0.933144211769104,0.9400685429573059
50,伊拉克研究组于今天格林尼治时间12时提交了报告。,伊拉克研究小组于格林尼治时间 (GMT) 今天 12 点提交了报告。,伊拉克研究小组今天在格林威治标准时间12:00发布了他们的报告。,0.9553064107894897,0.9001731872558594,0.9269207119941711,0.9033896923065186,0.8424049615859985,0.8718321323394775
51,"它警告说,没有人能够保证,目前在伊拉克采取的任何行动都将停止教派战争、不断加剧的暴力或向混乱方向的滑坡。",报告警告称，没有人能保证目前在伊拉克采取的任何行动能够阻止宗派战争、不断增长的暴力或走向混乱。,它警告说，没有人可以保证在伊拉克目前的任何行动能够停止宗派战争、日益增长的暴力或是滑向混乱。,0.884174108505249,0.9095760583877563,0.8966951966285706,0.874691367149353,0.9043256044387817,0.8892616629600525
52,"报告首先呼吁进行公开辩论,并呼吁美国就中东政策达成共识。",该报告开篇呼吁美国就中东政策展开公开辩论并形成共识。,报告以呼吁在美国就中东政策展开公开讨论和形成共识作为开篇。,0.8961898684501648,0.8943427801132202,0.8952654004096985,0.8586608171463013,0.817087709903717,0.8373585343360901
53,"该报告对行政部门目前对伊拉克政策几乎每个方面都持高度批评态度,并敦促立即改变方向。",该报告对行政当局目前对伊拉克政策的几乎每一个方面都提出了严厉批评，并敦促立即改变方向。,这份报告对现行政府在伊拉克的政策几乎所有方面都给予了高度批评，并呼吁立即改变方向。,0.9251227378845215,0.9224867224693298,0.9238028526306152,0.8875755667686462,0.8906031847000122,0.8890868425369263
54,"其78项建议中首先建议在今年年底之前采取新的外交举措,确保伊拉克边界不受敌对干预,并与其邻国重新建立外交关系。",在这份报告的 78 项建议中，第一条建议是在今年年底之前采取新的外交行动，目的在于保护伊拉克的边界免受敌对势力的侵害，并与邻国重建外交关系。,在其78项建议中，首要的一条是应该在今年年底之前采取新的外交倡议，以确保伊拉克的边界不受敌对干涉，并与邻国重新建立外交关系。,0.8887869715690613,0.8376328945159912,0.8624520897865295,0.9315159320831299,0.8941658139228821,0.9124588966369629
55,现任参议员及阿根廷第一夫人克里斯蒂娜·费尔南德斯·德基什内尔(Cristina Fernandez de Kirchner)昨天晚上在距布宜诺斯艾利斯50公里(31英里)的拉普拉塔宣布竞选总统。,现任参议员、阿根廷第一夫人克里斯蒂娜·费尔南德斯·德·柯克纳 (Cristina Fernandez de Kirchner) 昨晚在距离布宜诺斯艾利斯 50 公里（31英里）的拉普拉塔市 (La Plata) 宣布了其总统竞选资格。,现任参议员和阿根廷第一夫人克里斯蒂娜·费尔南德斯·德基什内尔昨晚在距离布宜诺斯艾利斯50公里的拉普拉塔市宣布了她的总统候选人资格。,0.9438692927360535,0.9218124151229858,0.9327105283737183,0.8865262269973755,0.9110561609268188,0.8986238241195679
56,"Kirchner女士宣布,她打算在阿根廷剧院竞选总统,2005年她作为布宜诺斯艾利斯省代表团成员参加参议院竞选的同一地点是2005年。",基什内尔女士在阿根廷大剧院宣布她有意参加总统竞选，2005 年也是在这里，她作为布宜诺斯艾利斯省代表开始竞选参议员。,基尔彻夫人宣布她打算在阿根廷剧院竞选总统，这个地方是她在2005年作为布宜诺斯艾利斯省代表启动参议院竞选时使用的地点。,0.8304394483566284,0.8171491026878357,0.8237407207489014,0.860698938369751,0.8412517309188843,0.8508642315864563
57,这场辩论是由“卡特琳娜”飓风后救济和重建开支的争议引发的; 一些财政保守派幽默地将“布什的新奥尔良政”称为“布什的新奥尔良政 ” 。,这场辩论是因为对卡特里娜飓风后的救济和重建支出有争议而开始的；一些财政保守派幽默地将其称为“布什的新（奥尔良）政”。,这场辩论是由于有关卡特里娜飓风后救济和重建开支的争议引发的；一些财政保守派幽默地称之为“布什的纽约交易”。,0.8955842852592468,0.8769885301589966,0.8861888647079468,0.8668572306632996,0.8952134847640991,0.8808072209358215
58,对重建努力的开明批评集中在将重建合同授予被认为在华盛顿的内幕人士上。,自由派人士对重建工作的批判主要集中在把重建合同授予了视为华盛顿内部人士的这一做法。,自由派对重建工作的批评主要集中在将重建合同授予被认为是华盛顿内部人士的人。,0.8428719639778137,0.8076703548431396,0.8248957991600037,0.8786584138870239,0.8697841167449951,0.8741987347602844
59,400多万人去罗马参加葬礼。,有 400 多万人前往罗马参加葬礼。,超过四百万人前往罗马参加葬礼。,0.9680501222610474,0.9420515298843384,0.9548738598823547,0.9282358884811401,0.8911013603210449,0.9092896580696106
60,"在场的人数如此之多,以致无法让所有人参加圣彼得广场的葬礼。",对于在圣彼得广场举行的葬礼，出席者太多了，因此不可能每个人都能进入。,到场的人数非常多，以至于每个人都无法进入圣彼得广场参加葬礼。,0.7727681994438171,0.7545332908630371,0.7635418772697449,0.8680492043495178,0.8668522834777832,0.8674503564834595
61,"罗马各地安装了几台大型电视屏幕,让人民观看仪式。",罗马各地安装了数个大型电视屏幕，供人们观看仪式。,在罗马的各个地方安装了几台大型电视屏幕，让人们观看仪式。,0.9468600153923035,0.9461002349853516,0.9464799761772156,0.949149489402771,0.9159470200538635,0.9322527050971985
62,"意大利的许多其他城市和世界其他地区,特别是波兰,也建立了类似的机构,许多人都看到了这些机构。",在意大利很多其他城市以及世界上其他地方，尤其是波兰，都设置了类似的设施，以供大量群众观看。,在意大利的许多其他城市以及世界其他地方，特别是在波兰，类似的布置也被进行了，吸引了大量观众。,0.8483211398124695,0.8441354632377625,0.8462231159210205,0.8301483988761902,0.8322021961212158,0.8311740159988403
63,"历史学家批评联邦调查局以往的政策,将资源集中用于容易解决的案件,特别是被盗汽车案件,目的是提高该机构的成功率。",历史学家批判了联邦调查局的过往政策，这种政策会把资源集中到容易破获的案件上，尤以偷车案件居多，目的只在于提高该机构的成功破案率。,历史学家批评过去FBI的政策过于关注那些容易解决的案件，尤其是被盗汽车案件，目的是提高该机构的成功率。,0.8886988759040833,0.855579137802124,0.8718245625495911,0.8765460252761841,0.9103496074676514,0.8931280374526978
64,"2005年财政年度,国会开始资助淫秽倡议,规定联邦调查局必须指定10名代理人从事成人色情活动。",国会从 2005 财年开始资助该扫黄倡议，并规定联邦调查局 (FBI) 必须指派 10 名探员专门打击成人色情。,国会在2005财年开始为猥亵倡议提供资金，并规定联邦调查局必须投入10名特工专门处理成人色情问题。,0.8561025261878967,0.8346976637840271,0.8452646136283875,0.8528642058372498,0.8388245105743408,0.8457860350608826
