id,translated_hindi,origin_translation,gpt_translation,bertscore_vs_origin_precision,bertscore_vs_origin_recall,bertscore_vs_origin_f1,bertscore_vs_gpt_precision,bertscore_vs_gpt_recall,bertscore_vs_gpt_f1
10,"जबकि एक चिकित्सा वैक्सीन अब तक ऐरोका को कम करने में समर्थ हुई है, कोई भी दवा स्पष्ट रूप से मौजूदा संक्रमण का इलाज करने के लिए उपयुक्‍त साबित नहीं हुई है ।","जबकि एक प्रायोगिक वैक्सीन इबोला से मृत्यु दर में कमी हो सकती है, अब तक, कोई भी ड्रग्स स्पष्ट रूप से संक्रमण का इलाज करने के लिए प्रमाणितनहीं हुआ है.","एक प्रयोगात्मक वैक्सीन ऐसा प्रतीत होता है कि वह इबोला मृत्यु दर को कम करने में सक्षम है, लेकिन अब तक कोई भी दवा स्पष्ट रूप से मौजूदा संक्रमण का इलाज करने के लिए उपयुक्त नहीं साबित हुई है।",0.8345154523849487,0.8293227553367615,0.831911027431488,0.9027318954467773,0.8571105003356934,0.8793298602104187
11,"शुरू - शुरू में, सीएमप्पे ने वादा किया था कि एक व्यक्‍ति को मौत को रोकने में कोई फायदा नहीं होगा ।","एक एंटीबॉडी कॉकटेल, ZMapp, ने शुरुआत में इस क्षेत्र में विश्वास दिखाया था, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि मौत को रोकने में प्रत्याशित लाभ की तुलना में इसका लाभ कम था।","एक एंटीबॉडी कॉकटेल, ZMapp, ने प्रारंभ में इस क्षेत्र में उम्मीद दिखाई, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि यह मौत को रोकने में अपेक्षित लाभ कम था।",0.7798683643341064,0.7306572198867798,0.7544611692428589,0.7740834951400757,0.7227043509483337,0.74751216173172
12,"सी.) का इस्तेमाल करते थे, जिसका मतलब है कि वैज्ञानिकों ने इसे एक आधार - रेखा के तौर पर और उसके तीन अन्य उपचारों की तुलना की ।","PALM परीक्षण में, ZMapp ने एक नियंत्रण के रूप में कार्य किया, जिसका अर्थ है कि वैज्ञानिकों ने इसे बेसलाइन के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की.","PALM परीक्षण में, ZMapp को एक नियंत्रण के रूप में उपयोग किया गया, जिसका अर्थ है कि वैज्ञानिकों ने इसे एक बुनियाद के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की।",0.8104395866394043,0.7955220341682434,0.8029115200042725,0.8174566626548767,0.8009794354438782,0.8091341853141785
13,यू. यू. एस. ए.,"अमेरिकी जिमनास्टिक्स, संयुक्त राज्य ओलंपिक समिति के पत्र का समर्थन करता है. साथ ही, सभी एथलीटों को एक सुरक्षित माहौल देने के लिए, ओलंपिक परिवार के होने की अहमियत स्वीकार करता है.",यूएसए जिमनास्टिक्स अमेरिका के ओलंपिक समिति के पत्र का समर्थन करता है और हमारे सभी एथलीटों के लिए एक सुरक्षित वातावरण को बढ़ावा देने के लिए ओलंपिक परिवार की absoluta आवश्यकता को स्वीकार करता है।,0.5853349566459656,0.5329152941703796,0.5578965544700623,0.686877965927124,0.5293439626693726,0.5979084968566895
14,"हम अमेरिकाओसी के बयान से सहमत हैं कि हमारे खिलाड़ियों और क्लब के शौक, और उनके खेल, हमारे संगठन के भीतर अर्थपूर्ण परिवर्तन के साथ आगे बढ़ने के द्वारा बेहतर सेवा की जा सकती है, नहीं.","हम USOC के इस कथन से सहमत हैं कि हमारे एथलीटों और क्लबों और उनके खेल, हमारे संगठन के भीतर सार्थक बदलाव के साथ आगे बढ़ कर बेहतर सेवा की जा सकती है ना की विप्रमाणन से |","हम यूएसओसी के बयान से सहमत हैं कि हमारे एथलीटों और क्लबों के हित, और उनके खेल, हमारे संगठन के भीतर महत्वपूर्ण परिवर्तन की दिशा में आगे बढ़ने से बेहतर सेवा प्राप्त कर सकते हैं, बजाय इसके कि उन्हें गैर-प्रमाणित किया जाए।",0.8903294801712036,0.8620064854621887,0.8759390115737915,0.9032434225082397,0.8567600250244141,0.8793878555297852
15,यू. एस. ए.) के बचनेवालों ने इतने लंबे अरसे तक और किसी भी ज़रूरी और उचित परिवर्तनों को स्वीकार नहीं किया ।,यूएसए जिमनास्टिक्स एक स्वतंत्र जाँच का समर्थन करता है जो इस बात पर प्रकाश डाल सकता है कि लैरी नासर के बचे लोगों द्वारा इतनी हिम्मत से बताए गए प्रपोर्शन का दुरुपयोग इतने लंबे समय तक चल सकता था और किसी भी आवश्यक और उचित परिवर्तन को अपना सकता है.,यूएसए जिमनास्टिक्स एक स्वतंत्र जांच का समर्थन करता है जो इस पर प्रकाश डाल सकता है कि लैरी नassar के Survivors द्वारा इतनी वीरता से वर्णित अनुपात का दुरुपयोग लंबे समय तक कैसे अदृश्य रह सकता था और किसी भी आवश्यक और उचित परिवर्तनों को अपनाता है।,0.7614061832427979,0.6959551572799683,0.7272109389305115,0.7545119524002075,0.6893779039382935,0.7204758524894714
16,"अमरीका और अमरीका का एक ही मकसद है, खेल - कूद करना, रंग - रूप का खेल बनाना और दूसरे खेल बनाना, खिलाड़ियों के लिए एक सुरक्षित, सकारात्मक और शक्‍तिशाली वातावरण में अपने सपनों का पालन करना ।","यूएसए जिमनास्टिक्स और यूएसओसी का एक ही लक्ष्य है — एथलीटों को सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का अनुसरण करने के लिए जिमनास्टिक्स और अन्य लोगों के खेल को जितना संभव हो सके उतना सुरक्षित बनाना.","यूएसए जिम्नास्टिक्स और यूएसओसी का एक ही लक्ष्य है - जिम्नास्टिक्स और अन्य खेलों को एथलीटों के लिए सुरक्षित, सकारात्मक और सशक्त वातावरण में अपने सपनों का पीछा करने के लिए संभवतः सुरक्षित बनाना।",0.7879359722137451,0.7457849979400635,0.766281247138977,0.8008883595466614,0.7738352417945862,0.7871294021606445
17,"सन्‌ 1960 के दौरान, ब्राज़ाज़ीस्की ने जॉन एफ.","1960 के दशक के दौरान, ब्रेझिन्स्की ने जॉन एफ कैनेडी के सलाहकार के तौर पर और उसके बाद लिंडन बी जॉनसन के प्रशासन के लिए काम किया.","1960 के दशक में, ब्रेज़िंस्की ने जॉन एफ. Kennedy के सलाहकार के रूप में काम किया और फिर लिंडन बी. जॉनसन प्रशासन के लिए।",0.8234115839004517,0.7263165712356567,0.7718223929405212,0.8360124826431274,0.7374939918518066,0.783669114112854
18,सन्‌ 1976 में उसने विदेशी नीति पर कार्टर को सलाह दी ।,"1976 चयन के दौरान उन्होंने विदेश नीति पर कार्टर को सलाह दी, फिर 1977 से लेकर 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में हेनरी किसिंजर को सेवा दी.","1976 के चयन के दौरान, उसने कार्टर को विदेशी नीति पर सलाह दी, और फिर 1977 से 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में सेवा दी, हेनरी किसिंजर के उत्तराधिकारी के रूप में।",0.8863975405693054,0.7524036765098572,0.8139227032661438,0.9060602188110352,0.7404102683067322,0.8149022459983826
19,"NAS के रूप में, उन्होंने कैम्प डेविड पोस्टर, 1978; सामान्य रूप से अमेरिका के संबंध में १९७० के दशक के आखिर में सोचा; ईरानी क्रांति, जो ईरानी बंधक संकट, 1979, और सोवियत हमले की ओर ले गया.","एनएसए के रूप में, उन्होंने कूटनीतिक रूप से विश्व मामलों को संभालने में कार्टर की सहायता की, जैसे कि कैंप डेविड एकॉर्ड्स, 1978; 1970 के दशक के अंत में अमेरिका-चीन संबंधों को सामान्य बनाना; ईरानी क्रांति, जो ईरान बंधक संकट का कारण बनी, 1979; और अफ़गानिस्तान में सोवियत आक्रमण, 1979.",作为国家安全顾问，他协助卡特在外交上处理世界事务，例如1978年的戴维营协议；在1970年代末期正常化美中关系；伊朗革命，这导致了1979年的伊朗人质危机；以及1979年苏联入侵阿富汗。,0.8591343760490417,0.8103888630867004,0.8340499997138977,0.6838778257369995,0.6871760487556458,0.6855229139328003
20,इस फिल्म में रायन गॉर और एमास स्टोन दिखाया गया और अलग - अलग वर्गों में अलग - अलग फिल्म देखी गयी ।,"जिस फिल्म में रायन गोज़लिंग और एम्मा स्टोन ने मुख्य भूमिकाएँ निभाई हैं, उसे सभी प्रमुख श्रेणियों में नॉमिनेशन किया गया है.","यह फिल्म, जिसमें रयान गोसलिंग और एमा स्टोन हैं, को सभी प्रमुख श्रेणियों में नामांकित किया गया।",0.7887908816337585,0.7542939186096191,0.7711567878723145,0.7726057767868042,0.7623717784881592,0.7674546837806702
21,"लेकिन, सा. यु. पू.",गोसलिंग और स्टोन को क्रमशः सर्वश्रेष्ठ अभिनेता और अभिनेत्री के लिए नामांकन मिला है.,गॉसलिंग और स्टोन को क्रमशः सर्वश्रेष्ठ अभिनेता और अभिनेत्री के लिए नामांकित किया गया।,0.5291144251823425,0.52239990234375,0.5257356762886047,0.5185056924819946,0.5026211738586426,0.510439932346344
22,"अन्य नवीकरणों में उत्तम चित्र, प्रत्यक्ष चित्र, सुधारी, रंगीन डिज़ाइन, मूल अंक, उत्पादन डिज़ाइन, ध्वनि संपादन, ध्वनि कौशल और मूल स्क्रीन खेल शामिल हैं.","अन्य नामांकनों में बेस्ट पिक्चर, डायरेक्टर, सिनेमेटोग्राफ़ी, कॉस्ट्यूम डिज़ाइन, फ़िल्म-संपादन, मूल स्कोर, प्रोडक्शन डिज़ाइन, ध्वनि संपादन, ध्वनि मिश्रण और ओरिजनल स्क्रीनप्ले शामिल हैं.","अन्य नामांकनों में सर्वश्रेष्ठ चित्र, निर्देशक, छायांकन, पोशाक डिजाइन, फिल्म संपादन, मौलिक स्कोर, उत्पादन डिजाइन, ध्वनि संपादन, ध्वनि मिश्रण और मौलिक पटकथा शामिल हैं।",0.8474439382553101,0.8125997185707092,0.8296561241149902,0.8434054851531982,0.8389540910720825,0.8411738872528076
23,फिल्म से दो गीत (जो मूर्ख सपने आते हैं) और तारों के शहर के दो गीतों को सबसे अच्छे मूल गीत के लिए कोई कमी नहीं मिली ।,ऑडिशन (द फ़ूल्स हू ड्रीम) और सिटी ऑफ़ स्टार्स के दो गानो को सर्वश्रेष्ठ मूल गीत के लिए नामांकन मिला. किसी भी अन्य स्टूडियो से ज़्यादा — लायंसगेट स्टूडियो को 26 नामांकन मिले.,फिल्म ऑडिशन (द फुल्स हू ड्रीम) और सिटी ऑफ स्टार्स के दो歌曲ों को सर्वश्रेष्ठ मूल गीत के लिए नामांकन मिला। लायंसगेट स्टूडियो को 26 नामांकन मिले - जो किसी अन्य स्टूडियो से अधिक हैं।,0.736283004283905,0.684508204460144,0.7094523310661316,0.742037296295166,0.6911960244178772,0.7157148718833923
24,"रविवार के दिन, संयुक्‍त राज्य अमरीका के राष्ट्रपति ट्रम्प ने प्रेस सचिव द्वारा दिए एक कथन में, घोषणा की कि अमेरिका के सैनिकों को अराम छोड़ दिया जाएगा ।","रविवार को देर शाम, यूनाइटेड स्टेट्स के राष्ट्रपति डोनाल्ड ट्रंप ने प्रेस सेक्रेटरी के ज़रिए दिए बयान में बताया कि यूएस सेना सीरिया को छोड़ने वाली है.","रविवार की देर शाम, अमेरिका के राष्ट्रपति डोनाल्ड ट्रम्प ने प्रेस सचिव के माध्यम से दी गई एक विज्ञप्ति में घोषणा की कि अमेरिका के सैनिक सीरिया छोड़ देंगे।",0.8056719303131104,0.7691069841384888,0.7869649529457092,0.8637490272521973,0.8649976253509521,0.8643729090690613
25,"इस घोषणा के बाद, ट्रम्प ने तुर्की राष्ट्रपति Reypiociocan के साथ एक फ़ोन बातचीत की ।",तुर्की के राष्ट्रपति रजब तैयब इरदुगान के साथ ट्रंप की फ़ोन पर चर्चा होने के बाद घोषणा की गई थी.,यह घोषणा ट्रंप के तुर्की राष्ट्रपति रेसेप तईप एर्दोगन के साथ फोन पर बातचीत करने के बाद की गई थी।,0.8000522255897522,0.7612646818161011,0.7801766395568848,0.8233383297920227,0.7890321612358093,0.8058202862739563
26,"तुर्की की रक्षा करने के लिए रक्षात्मक लड़ाई - झगड़ों को भी ले जाएगा, जो कि कथन ने कहा है, यूरोपीय राष्ट्रों ने फिर से पुनर्भरण करने से इनकार कर दिया है ।","तुर्की ने आईएसआईएस के लड़ाकों को पकड़ना और निगरानी करना शुरू कर दिया है, बयान में कहा गया है कि यूरोपीय देशों ने प्रत्यावर्तन करने से इन्कार कर दिया है.","तुर्की भी पकड़े गए ISIS लड़ाकों की सुरक्षा संभालेगा, जिससे यूरोपीय देशों ने वापस लाने से इनकार किया है, ऐसा बयान में कहा गया।",0.8018288612365723,0.7977778911590576,0.7997982501983643,0.7916987538337708,0.8156555891036987,0.8034986257553101
27,"यह केवल इस बात की पुष्टि नहीं करता कि कम - से - कम कुछ जड़ी - बूटियों के परे होते हैं, एक सिद्धांत पहले से ही व्यापक है, लेकिन विवरण प्रदान करता है आम तौर पर रंग और तीन-छोटे व्यवस्था ।","यह न केवल इसकी पुष्टि करता है कि कम से कम कुछ डायनासोर के पंख थे, एक सिद्धांत पहले से ही प्रचलित है, लेकिन यह ऐसी जानकारी प्रदान करता जो जीवाश्म आमतौर पर नहीं कर सकते, जैसे रंग और तीन आयामी अरेंजमेंट.","यह न केवल यह पुष्टि करता है कि कम से कम कुछ डायनासोरों के पंख थे, जो पहले से ही एक व्यापक सिद्धांत है, बल्कि यह विवरण भी प्रदान करता है जो सामान्यतः जीवाश्म नहीं दे सकते, जैसे रंग और त्रि-आयामी व्यवस्था।",0.8446097373962402,0.8091500997543335,0.8264997601509094,0.832770824432373,0.796301007270813,0.8141276836395264
28,वैज्ञानिकों का कहना है कि इस जानवर का स्टूफ़ल एक पीला या कार्टेन के साथ शीर्ष पर था।,वैज्ञानिकों का यह कहना है कि इस जानवर के रोमछिद्र भूरे और कैरोटीनॉयड के नीचे का रंग भूरा-भूरा था।,वैज्ञानिकों का कहना है कि इस जानवर के पंख ऊपर की तरफ चेस्टनट-भूरे रंग के थे और नीचे की तरफ हल्के या कैरोटीनॉइड रंग के थे।,0.8113524913787842,0.790995717048645,0.801044762134552,0.8115828633308411,0.77309650182724,0.7918723225593567
29,इस खोज से पक्षियों के पंखों के विकास की समझ भी मिलती है ।,यह खोज पक्षियों में पंखों के विकास की पूरी जानकारी भी प्रदान करती है.,यह खोज पंखों के विकास के बारे में भी अंतर्दृष्टि प्रदान करती है।,0.8559852838516235,0.8836013674736023,0.8695741295814514,0.846309244632721,0.8411099314689636,0.8437016010284424
30,"क्योंकि इन अन्य लक्षणों को एक अच्छी तरह से बना हुआ पंख नहीं होता, लेकिन पंखों की अन्य विशेषताएँ भी होती हैं — बार्ब और टेब्स — इन वैज्ञानिकों को बाद में विकास के विकास की संभावना थी कि इन अन्य लक्षणों के बारे में.","हालाँकि, डायनासोर के पंखों के शाफ्ट पूरी तरह से विकसित नहीं होते हैं और उन्हें रैचिस कहा जाता है. लेकिन उनके पंखों में बार्ब्स और बार्बुल्स जैसी अन्य खूबियाँ होती हैं. शोधकर्ताओं ने अनुमान लगाया है कि डायनासोर की अन्य खूबियों की तरह शायद रैचिस भी बाद में विकसित हुए होंगे.","क्योंकि डायनासोर के पंखों में एक अच्छी तरह से विकसित शाफ्ट, जिसे रैचिस कहते हैं, नहीं है, लेकिन अन्य पंखों के गुण — बार्ब्स और बार्ब्यूल्स — मौजूद हैं, शोधकर्ताओं ने निष्कर्ष निकाला कि रैचिस संभवतः इन अन्य गुणों की तुलना में बाद में विकसित हुआ था।",0.7639434337615967,0.7279148101806641,0.7454941272735596,0.8036665916442871,0.7625314593315125,0.782558798789978
31,"पंखों की संरचना का सुझाव है कि वे उड़ान में प्रयोग नहीं किया गया था लेकिन तापमान या प्रदर्शन के बजाय. खोजकर्ताओं ने सुझाव दिया कि, हालांकि यह एक युवा Merer की पूंछ है, नमूना वयस्कों को दिखाई देता है और न कि एक लड़की के नीचे.","पंखों की संरचना से पता चलता है कि उनका उपयोग उड़ान में नहीं, बल्कि तापमान विनियमन या प्रदर्शन के लिए किया जाता था। शोधकर्ताओं ने सुझाव दिया कि, भले ही यह एक युवा डायनासोर की पूँछ हो, लेकिन नमूना वयस्क साहुल दर्शाता है ना कि बच्चे का निचला हिस्सा।","पंखों की संरचना यह संकेत देती है कि उनका उपयोग उड़ान में नहीं बल्कि तापमान विनियमन या प्रदर्शन के लिए किया गया था। शोधकर्ताओं का सुझाव है कि, भले ही यह एक युवा डायनासोर की पूंछ है, नमूना वयस्क पंखों को दिखाता है और चूजे के फफूंद को नहीं।",0.8650702238082886,0.829974889755249,0.8471592664718628,0.8773608207702637,0.848048210144043,0.8624554872512817
32,"वैज्ञानिकों ने सुझाव दिया कि, हालांकि यह एक युवा फ़्लॉसर की पूंछ है, नमूना वयस्कों को दिखाई देता है और एक लड़की के नीचे नहीं.","शोधकर्ताओं ने सुझाव दिया कि, भले ही यह किसी छोटे डायनासोर की पूंछ है, लेकिन नमूना वयस्क के पंख का लगता है ना कि किसी बच्चे का।","शोधकर्ताओं ने सुझाव दिया कि, हालांकि यह एक युवा डायनासोर की पूंछ है, यह नमूना वयस्क पंखों को दर्शाता है और चूजे के फर को नहीं।",0.8469679355621338,0.8334445357322693,0.8401517868041992,0.8976415991783142,0.8890360593795776,0.8933181166648865
33,पुलिस मुख्यालय में एक कार बम विस्फोट ने कल रात को दो पुलिस अफ़सरों को मार डाला और बीस से ज़्यादा लोगों को घायल किया ।,"कल सुबह तुर्की के गाज़ियाँटेप में पुलिस मुख्यालय में एक कार बम विस्फोट हुआ, जिसमें दो पुलिस अधिकारी मारे गए और बीस से अधिक लोग घायल हुए.","एक कार बम ने कल सुबह तुर्की के गाज़IANTेप में पुलिस मुख्यालय के पास विस्फोट कर दिया, जिससे दो पुलिस अधिकारियों की मौत हो गई और बीस से अधिक लोग घायल हो गए।",0.860816240310669,0.8183529376983643,0.8390476703643799,0.8404315710067749,0.7931298017501831,0.8160958290100098
34,राज्यपाल के कार्यालय ने कहा कि घायल लोगों में से उन्नीस पुलिस अधिकारी थे।,राज्यपाल के कार्यालय ने बताया कि घायलों में से उन्नीस पुलिस अधिकारी थे।,राज्यपाल के कार्यालय ने कहा कि घायलों में से उन्नीस पुलिस अधिकारी थे।,0.9742273092269897,0.96689772605896,0.970548689365387,0.9819303750991821,0.9871429800987244,0.9845298528671265
35,पुलिस ने कहा कि वे हमले की जिम्मेदारी के सैन्य रूप से संदेह करते हैं।,पुलिस ने कहा कि उन्हें हमले के लिए ज़िम्मेदार कथित डाएश (आईएसआईएल) लड़ाकों पर संदेह है.,पुलिस ने कहा कि उन्हें हमले की जिम्मेदारी के लिए एक कथित दाइश (आईएसआईएल) मिलिटेंट पर संदेह है।,0.8732528686523438,0.7660640478134155,0.8161540627479553,0.8944692015647888,0.781366229057312,0.8341010808944702
36,"उन्होंने सूर्य को अन्य तारों के रूप में अन्य बुनियादी सिद्धांतों पर प्रयोग किया: तंत्र के सभी तारों का कार्य उनकी चमक - दमक, उनका परिक्रमण, और कोई दूसरा नहीं पाया गया ।","उन्होंने पाया कि सूर्य अन्य सितारों के समान मूल सिद्धांतों पर संचालित होता है: मंडल के सभी सितारों की गतिविधि उनके प्रकाश, उनके परिक्रमण द्वारा संचालित थी, किसी और कारण से नहीं।","उन्होंने पाया कि सूर्य अन्य सितारों की तरह समान मूलभूत सिद्धांतों पर कार्य करता है: इस प्रणाली के सभी सितारों की गतिविधियों को उनकी चमक, उनके घूर्णन और कुछ अन्य चीज़ों द्वारा संचालित किया गया था।",0.7971900701522827,0.794511079788208,0.7958483695983887,0.7962777614593506,0.7841480374336243,0.7901663780212402
37,"एक तारे की रॉस संख्या निर्धारित करने के लिए, जो प्लाविका के प्रवाह से सम्बन्धित है.","एक तारे की रॉस्बी संख्या, जो प्लाज़्मा फ़्लो से संबंधित है, का पता लगाने के लिए उसकी चमक और रोटेशन का एक साथ इस्तेमाल किया जाता है,","चमक और घूर्णन का उपयोग एक साथ एक तारे की रॉस्बी संख्या निर्धारित करने के लिए किया जाता है, जो प्लाज्मा प्रवाह से संबंधित है।",0.8121594190597534,0.7907207012176514,0.8012967109680176,0.8815953731536865,0.8322516679763794,0.8562132120132446
